anno,nome,albania,altre,bangladesh,bosnia-erzegovina,brasile,camerun,cuba,ghana,india,italiane,kosovo,macedonia_del_nord,marocco,moldova,nigeria,polonia,repubblica_di_serbia,repubblica_dominicana,repubblica_popolare_cinese,romania,sri_lanka,straniere,taiwan,ucraina
2015,A.O. Integrata Con Università - Verona,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,31.0,0.0,52.0,0.0,0.0,0.0,0.0,83.0,0.0,361.0,0.0,0.0
2015,Adria,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0
2015,Arzignano,0.0,39.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
2015,Asolo,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,125.0,0.0,0.0
2015,Azienda Ospedale - Università Padova,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,25.0,34.0,0.0,162.0,0.0,0.0
2015,Azienda Ulss N. 1 Dolomiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 2 Marca Trevigiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 3 Serenissima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 4 Veneto Orientale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 5 Polesana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 6 Euganea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 7 Pedemontana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 8 Berica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Azienda Ulss N. 9 Scaligera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,Bassano Del Grappa,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,58.0,0.0,0.0
2015,Belluno,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,3.0
2015,Bussolengo,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,21.0,0.0,0.0
2015,Chioggia,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,2.0,0.0
2015,Cittadella,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,70.0,0.0,0.0
2015,Este,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,51.0,0.0,0.0
2015,Feltre,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,4.0
2015,Legnago,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,43.0,0.0,0.0
2015,Mirano,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,0.0,118.0,0.0,0.0
2015,Padova,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0,20.0,0.0,77.0,0.0,0.0
2015,Pieve Di Soligo,20.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,113.0,0.0,0.0
2015,Rovigo,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0.0,56.0,0.0,0.0
2015,S. Dona' Di Piave,8.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,63.0,0.0,0.0
2015,Thiene,0.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,75.0,0.0,0.0
2015,Treviso,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,30.0,0.0,147.0,0.0,0.0
2015,Veneziana,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,43.0,37.0,0.0,227.0,0.0,0.0
2015,Verona,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,72.0,0.0,0.0
