nome_azienda,categoria,valori,anno,nome
901,Privato,0,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
901,Privato,0,2016,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2016,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2016,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2016,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2017,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2017,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,4,2017,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2017,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,5,2017,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,17,2017,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,2,2017,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2017,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,1,2017,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,5,2017,AZIENDA ULSS N. 5 POLESANA
506,Privato,2,2017,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,12,2017,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2017,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,8,2017,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2017,AZIENDA ULSS N. 8 BERICA
508,Pubblico,13,2017,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2017,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,16,2017,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2017,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2017,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2017,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2017,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2018,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2018,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2018,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2018,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,1,2018,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,7,2018,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,2,2018,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,7,2018,AZIENDA ULSS N. 4 VENETO ORIENTALE
506,Privato,2,2018,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,12,2018,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2018,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,8,2018,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2018,AZIENDA ULSS N. 8 BERICA
508,Pubblico,10,2018,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2018,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,16,2018,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2018,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2018,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2018,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2018,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2019,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2019,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2019,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2019,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,3,2019,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,17,2019,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,0,2019,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2019,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,0,2019,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,2,2019,AZIENDA ULSS N. 5 POLESANA
506,Privato,0,2019,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,20,2019,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2019,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,8,2019,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2019,AZIENDA ULSS N. 8 BERICA
508,Pubblico,9,2019,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2019,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,16,2019,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2019,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2019,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2019,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2019,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2020,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2020,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2020,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2020,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,3,2020,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,17,2020,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,0,2020,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2020,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,0,2020,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,5,2020,AZIENDA ULSS N. 5 POLESANA
506,Privato,0,2020,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,20,2020,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2020,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,8,2020,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2020,AZIENDA ULSS N. 8 BERICA
508,Pubblico,6,2020,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2020,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,16,2020,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2020,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2020,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2020,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2020,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2021,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2021,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2021,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2021,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,0,2021,AZIENDA ULSS N. 3 SERENISSIMA
503,Pubblico,15,2021,AZIENDA ULSS N. 3 SERENISSIMA
504,Privato,0,2021,AZIENDA ULSS N. 4 VENETO ORIENTALE
504,Pubblico,6,2021,AZIENDA ULSS N. 4 VENETO ORIENTALE
505,Privato,0,2021,AZIENDA ULSS N. 5 POLESANA
505,Pubblico,5,2021,AZIENDA ULSS N. 5 POLESANA
506,Privato,0,2021,AZIENDA ULSS N. 6 EUGANEA
506,Pubblico,20,2021,AZIENDA ULSS N. 6 EUGANEA
507,Privato,0,2021,AZIENDA ULSS N. 7 PEDEMONTANA
507,Pubblico,7,2021,AZIENDA ULSS N. 7 PEDEMONTANA
508,Privato,2,2021,AZIENDA ULSS N. 8 BERICA
508,Pubblico,6,2021,AZIENDA ULSS N. 8 BERICA
509,Privato,5,2021,AZIENDA ULSS N. 9 SCALIGERA
509,Pubblico,16,2021,AZIENDA ULSS N. 9 SCALIGERA
901,Privato,0,2021,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,Pubblico,0,2021,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,Privato,0,2021,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,Pubblico,0,2021,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
501,Privato,2,2022,AZIENDA ULSS N. 1 DOLOMITI
501,Pubblico,10,2022,AZIENDA ULSS N. 1 DOLOMITI
502,Privato,2,2022,AZIENDA ULSS N. 2 MARCA TREVIGIANA
502,Pubblico,17,2022,AZIENDA ULSS N. 2 MARCA TREVIGIANA
503,Privato,0,2022,AZIENDA ULSS N. 3 SERENISSIMA
