nome_azienda,nome,categoria,valori,anno
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,TOTALE,25,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,OBIETTORE,20,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,TOTALE,14,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,OBIETTORE,13,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,TOTALE,13,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,OBIETTORE,8,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,TOTALE,26,2016
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,OBIETTORE,22,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,TOTALE,10,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,OBIETTORE,8,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,TOTALE,13,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,OBIETTORE,10,2016
501,AZIENDA ULSS N. 1 DOLOMITI,TOTALE,10,2017
501,AZIENDA ULSS N. 1 DOLOMITI,OBIETTORE,8,2017
501,AZIENDA ULSS N. 1 DOLOMITI,TOTALE,9,2017
501,AZIENDA ULSS N. 1 DOLOMITI,OBIETTORE,4,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,21,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,18,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,8,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,6,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,12,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,8,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,7,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,5,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,10,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,9,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,TOTALE,10,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,OBIETTORE,7,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,TOTALE,18,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,OBIETTORE,16,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,TOTALE,8,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,OBIETTORE,6,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,TOTALE,15,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,OBIETTORE,8,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,TOTALE,15,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,OBIETTORE,13,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,TOTALE,9,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,OBIETTORE,7,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,TOTALE,8,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,OBIETTORE,7,2017
505,AZIENDA ULSS N. 5 POLESANA,TOTALE,11,2017
505,AZIENDA ULSS N. 5 POLESANA,OBIETTORE,8,2017
505,AZIENDA ULSS N. 5 POLESANA,TOTALE,4,2017
505,AZIENDA ULSS N. 5 POLESANA,OBIETTORE,3,2017
505,AZIENDA ULSS N. 5 POLESANA,TOTALE,7,2017
505,AZIENDA ULSS N. 5 POLESANA,OBIETTORE,3,2017
506,AZIENDA ULSS N. 6 EUGANEA,TOTALE,11,2017
506,AZIENDA ULSS N. 6 EUGANEA,OBIETTORE,9,2017
506,AZIENDA ULSS N. 6 EUGANEA,TOTALE,7,2017
506,AZIENDA ULSS N. 6 EUGANEA,OBIETTORE,5,2017
506,AZIENDA ULSS N. 6 EUGANEA,TOTALE,12,2017
506,AZIENDA ULSS N. 6 EUGANEA,OBIETTORE,9,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,TOTALE,15,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,OBIETTORE,12,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,TOTALE,5,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,OBIETTORE,3,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,TOTALE,22,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,OBIETTORE,14,2017
508,AZIENDA ULSS N. 8 BERICA,TOTALE,21,2017
508,AZIENDA ULSS N. 8 BERICA,OBIETTORE,18,2017
508,AZIENDA ULSS N. 8 BERICA,TOTALE,1,2017
508,AZIENDA ULSS N. 8 BERICA,OBIETTORE,0,2017
508,AZIENDA ULSS N. 8 BERICA,TOTALE,10,2017
508,AZIENDA ULSS N. 8 BERICA,OBIETTORE,9,2017
509,AZIENDA ULSS N. 9 SCALIGERA,TOTALE,13,2017
509,AZIENDA ULSS N. 9 SCALIGERA,OBIETTORE,6,2017
509,AZIENDA ULSS N. 9 SCALIGERA,TOTALE,11,2017
509,AZIENDA ULSS N. 9 SCALIGERA,OBIETTORE,8,2017
509,AZIENDA ULSS N. 9 SCALIGERA,TOTALE,13,2017
509,AZIENDA ULSS N. 9 SCALIGERA,OBIETTORE,10,2017
509,AZIENDA ULSS N. 9 SCALIGERA,TOTALE,17,2017
509,AZIENDA ULSS N. 9 SCALIGERA,OBIETTORE,14,2017
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,TOTALE,33,2017
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,OBIETTORE,19,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,TOTALE,26,2017
