nome_azienda,nome,categoria,valori,anno
101,BELLUNO,ANESTESIA GENERALE,93,2015
102,FELTRE,ANESTESIA GENERALE,4,2015
102,FELTRE,ANESTESIA LOCALE,94,2015
102,FELTRE,ANALGESIA SENZA ANESTESIA,1,2015
102,FELTRE,ANESTESIA GENERALE,1,2015
102,FELTRE,NESSUNA,14,2015
103,BASSANO DEL GRAPPA,ANESTESIA GENERALE,33,2015
103,BASSANO DEL GRAPPA,NESSUNA,11,2015
104,THIENE,ANESTESIA LOCALE,19,2015
104,THIENE,SEDAZIONE PROFONDA,15,2015
104,THIENE,ALTRA,1,2015
104,THIENE,ANESTESIA GENERALE,28,2015
105,ARZIGNANO,SEDAZIONE PROFONDA,142,2015
106,VICENZA,ANALGESIA SENZA ANESTESIA,1,2015
106,VICENZA,ANESTESIA GENERALE,180,2015
106,VICENZA,ALTRA,2,2015
106,VICENZA,ANESTESIA LOCALE,1,2015
107,PIEVE DI SOLIGO,NESSUNA,1,2015
107,PIEVE DI SOLIGO,ANESTESIA GENERALE,154,2015
107,PIEVE DI SOLIGO,SEDAZIONE PROFONDA,11,2015
107,PIEVE DI SOLIGO,NESSUNA,7,2015
108,ASOLO,ANESTESIA GENERALE,29,2015
108,ASOLO,NESSUNA,1,2015
109,TREVISO,ANESTESIA GENERALE,5,2015
109,TREVISO,ANESTESIA LOCALE,1,2015
109,TREVISO,NESSUNA,19,2015
110,S. DONA' DI PIAVE,ANESTESIA GENERALE,133,2015
110,S. DONA' DI PIAVE,ANESTESIA LOCALE,1,2015
110,S. DONA' DI PIAVE,SEDAZIONE PROFONDA,2,2015
112,VENEZIANA,ANESTESIA GENERALE,152,2015
112,VENEZIANA,NESSUNA,2,2015
112,VENEZIANA,SEDAZIONE PROFONDA,74,2015
112,VENEZIANA,ANESTESIA LOCALE,11,2015
112,VENEZIANA,ALTRA,2,2015
112,VENEZIANA,ANALGESIA SENZA ANESTESIA,6,2015
112,VENEZIANA,NESSUNA,2,2015
112,VENEZIANA,SEDAZIONE PROFONDA,1,2015
112,VENEZIANA,ALTRA,4,2015
112,VENEZIANA,ANALGESIA SENZA ANESTESIA,1,2015
113,MIRANO,ALTRA,1,2015
113,MIRANO,NESSUNA,4,2015
114,CHIOGGIA,ANESTESIA GENERALE,1,2015
115,CITTADELLA,SEDAZIONE PROFONDA,8,2015
115,CITTADELLA,ANESTESIA GENERALE,1,2015
115,CITTADELLA,ALTRA,4,2015
115,CITTADELLA,NESSUNA,70,2015
115,CITTADELLA,ANESTESIA LOCALE,1,2015
117,ESTE,ANESTESIA GENERALE,120,2015
117,ESTE,SEDAZIONE PROFONDA,1,2015
118,ROVIGO,NESSUNA,62,2015
118,ROVIGO,ANALGESIA SENZA ANESTESIA,1,2015
120,VERONA,ANESTESIA GENERALE,136,2015
120,VERONA,NESSUNA,1,2015
120,VERONA,ALTRA,1,2015
121,LEGNAGO,NESSUNA,4,2015
121,LEGNAGO,SEDAZIONE PROFONDA,25,2015
121,LEGNAGO,ANESTESIA GENERALE,1,2015
122,BUSSOLENGO,ANESTESIA GENERALE,34,2015
122,BUSSOLENGO,SEDAZIONE PROFONDA,1,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,SEDAZIONE PROFONDA,7,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,421,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,17,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANESTESIA GENERALE,50,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANESTESIA LOCALE,1,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,2,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,79,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ALTRA,8,2015
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANALGESIA SENZA ANESTESIA,111,2015
101,BELLUNO,ANESTESIA GENERALE,71,2016
102,FELTRE,ANESTESIA LOCALE,88,2016
102,FELTRE,ANALGESIA SENZA ANESTESIA,2,2016
102,FELTRE,ANESTESIA LOCALE,1,2016
102,FELTRE,NESSUNA,15,2016
102,FELTRE,ALTRA,2,2016
103,BASSANO DEL GRAPPA,ANESTESIA GENERALE,2,2016
103,BASSANO DEL GRAPPA,NESSUNA,15,2016
104,THIENE,SEDAZIONE PROFONDA,58,2016
104,THIENE,ANALGESIA SENZA ANESTESIA,1,2016
104,THIENE,ANESTESIA GENERALE,24,2016
104,THIENE,ANESTESIA LOCALE,6,2016
105,ARZIGNANO,NESSUNA,2,2016
105,ARZIGNANO,SEDAZIONE PROFONDA,156,2016
106,VICENZA,ANESTESIA LOCALE,1,2016
106,VICENZA,ANESTESIA GENERALE,92,2016
107,PIEVE DI SOLIGO,SEDAZIONE PROFONDA,14,2016
107,PIEVE DI SOLIGO,ANESTESIA GENERALE,145,2016
107,PIEVE DI SOLIGO,NESSUNA,7,2016
108,ASOLO,ANESTESIA GENERALE,9,2016
108,ASOLO,NESSUNA,5,2016
109,TREVISO,SEDAZIONE PROFONDA,18,2016
109,TREVISO,NESSUNA,1,2016
109,TREVISO,ANESTESIA GENERALE,2,2016
109,TREVISO,SEDAZIONE PROFONDA,1,2016
109,TREVISO,NESSUNA,32,2016
110,S. DONA' DI PIAVE,SEDAZIONE PROFONDA,4,2016
110,S. DONA' DI PIAVE,ANESTESIA GENERALE,119,2016
112,VENEZIANA,ALTRA,2,2016
112,VENEZIANA,SEDAZIONE PROFONDA,31,2016
112,VENEZIANA,ANESTESIA GENERALE,82,2016
112,VENEZIANA,ANALGESIA SENZA ANESTESIA,8,2016
112,VENEZIANA,ANESTESIA LOCALE,5,2016
112,VENEZIANA,ALTRA,1,2016
112,VENEZIANA,ANESTESIA GENERALE,1,2016
112,VENEZIANA,ANESTESIA LOCALE,1,2016
112,VENEZIANA,NESSUNA,12,2016
113,MIRANO,ALTRA,3,2016
113,MIRANO,SEDAZIONE PROFONDA,5,2016
113,MIRANO,NESSUNA,13,2016
114,CHIOGGIA,SEDAZIONE PROFONDA,2,2016
114,CHIOGGIA,ANESTESIA GENERALE,1,2016
115,CITTADELLA,SEDAZIONE PROFONDA,10,2016
115,CITTADELLA,ANESTESIA GENERALE,5,2016
115,CITTADELLA,NESSUNA,2,2016
115,CITTADELLA,SEDAZIONE PROFONDA,3,2016
115,CITTADELLA,NESSUNA,100,2016
115,CITTADELLA,ALTRA,9,2016
115,CITTADELLA,ANESTESIA LOCALE,1,2016
117,ESTE,SEDAZIONE PROFONDA,94,2016
117,ESTE,ANESTESIA GENERALE,30,2016
118,ROVIGO,NESSUNA,54,2016
118,ROVIGO,ALTRA,4,2016
118,ROVIGO,ANALGESIA SENZA ANESTESIA,1,2016
119,ADRIA,SEDAZIONE PROFONDA,11,2016
120,VERONA,ANALGESIA SENZA ANESTESIA,1,2016
120,VERONA,SEDAZIONE PROFONDA,26,2016
120,VERONA,ANESTESIA GENERALE,91,2016
120,VERONA,ANESTESIA GENERALE,1,2016
120,VERONA,NESSUNA,2,2016
121,LEGNAGO,ANALGESIA SENZA ANESTESIA,2,2016
121,LEGNAGO,ANESTESIA GENERALE,3,2016
121,LEGNAGO,SEDAZIONE PROFONDA,43,2016
122,BUSSOLENGO,SEDAZIONE PROFONDA,3,2016
122,BUSSOLENGO,ANESTESIA GENERALE,2,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANALGESIA SENZA ANESTESIA,9,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,9,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANESTESIA GENERALE,29,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,478,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANALGESIA SENZA ANESTESIA,102,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,61,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,3,2016
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ALTRA,3,2016
501,AZIENDA ULSS N. 1 DOLOMITI,ANESTESIA LOCALE,78,2017
501,AZIENDA ULSS N. 1 DOLOMITI,ANALGESIA SENZA ANESTESIA,1,2017
501,AZIENDA ULSS N. 1 DOLOMITI,ANESTESIA GENERALE,86,2017
501,AZIENDA ULSS N. 1 DOLOMITI,ANALGESIA SENZA ANESTESIA,1,2017
501,AZIENDA ULSS N. 1 DOLOMITI,SEDAZIONE PROFONDA,1,2017
501,AZIENDA ULSS N. 1 DOLOMITI,NESSUNA,14,2017
501,AZIENDA ULSS N. 1 DOLOMITI,ALTRA,3,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,SEDAZIONE PROFONDA,5,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,NESSUNA,1,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,ANESTESIA GENERALE,148,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,SEDAZIONE PROFONDA,3,2017
502,AZIENDA ULSS N. 2 MARCA TREVIGIANA,NESSUNA,47,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,ALTRA,1,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,ANESTESIA LOCALE,2,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,ANESTESIA GENERALE,69,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,SEDAZIONE PROFONDA,58,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,NESSUNA,1,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,ANESTESIA LOCALE,2,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,ANESTESIA GENERALE,10,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,SEDAZIONE PROFONDA,6,2017
503,AZIENDA ULSS N. 3 SERENISSIMA,NESSUNA,36,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,NESSUNA,5,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,ANESTESIA GENERALE,94,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,SEDAZIONE PROFONDA,23,2017
504,AZIENDA ULSS N. 4 VENETO ORIENTALE,ANALGESIA SENZA ANESTESIA,1,2017
505,AZIENDA ULSS N. 5 POLESANA,ANESTESIA GENERALE,1,2017
505,AZIENDA ULSS N. 5 POLESANA,ANALGESIA SENZA ANESTESIA,1,2017
505,AZIENDA ULSS N. 5 POLESANA,SEDAZIONE PROFONDA,61,2017
505,AZIENDA ULSS N. 5 POLESANA,SEDAZIONE PROFONDA,1,2017
505,AZIENDA ULSS N. 5 POLESANA,NESSUNA,43,2017
505,AZIENDA ULSS N. 5 POLESANA,ALTRA,15,2017
506,AZIENDA ULSS N. 6 EUGANEA,SEDAZIONE PROFONDA,182,2017
506,AZIENDA ULSS N. 6 EUGANEA,NESSUNA,3,2017
506,AZIENDA ULSS N. 6 EUGANEA,ANESTESIA LOCALE,1,2017
506,AZIENDA ULSS N. 6 EUGANEA,SEDAZIONE PROFONDA,4,2017
506,AZIENDA ULSS N. 6 EUGANEA,NESSUNA,114,2017
506,AZIENDA ULSS N. 6 EUGANEA,ANALGESIA SENZA ANESTESIA,1,2017
506,AZIENDA ULSS N. 6 EUGANEA,ALTRA,6,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,ANESTESIA GENERALE,18,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,SEDAZIONE PROFONDA,80,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,ANESTESIA LOCALE,8,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,ANESTESIA GENERALE,1,2017
507,AZIENDA ULSS N. 7 PEDEMONTANA,NESSUNA,9,2017
508,AZIENDA ULSS N. 8 BERICA,ANESTESIA GENERALE,140,2017
508,AZIENDA ULSS N. 8 BERICA,SEDAZIONE PROFONDA,102,2017
508,AZIENDA ULSS N. 8 BERICA,ALTRA,1,2017
508,AZIENDA ULSS N. 8 BERICA,NESSUNA,1,2017
509,AZIENDA ULSS N. 9 SCALIGERA,SEDAZIONE PROFONDA,95,2017
509,AZIENDA ULSS N. 9 SCALIGERA,ANESTESIA LOCALE,1,2017
509,AZIENDA ULSS N. 9 SCALIGERA,ANESTESIA GENERALE,117,2017
509,AZIENDA ULSS N. 9 SCALIGERA,SEDAZIONE PROFONDA,2,2017
509,AZIENDA ULSS N. 9 SCALIGERA,ANESTESIA LOCALE,1,2017
509,AZIENDA ULSS N. 9 SCALIGERA,ANESTESIA GENERALE,1,2017
509,AZIENDA ULSS N. 9 SCALIGERA,NESSUNA,3,2017
509,AZIENDA ULSS N. 9 SCALIGERA,ALTRA,1,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,395,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,12,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANESTESIA GENERALE,1,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANALGESIA SENZA ANESTESIA,2,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,SEDAZIONE PROFONDA,6,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,NESSUNA,111,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ANALGESIA SENZA ANESTESIA,34,2017
912,A.O. INTEGRATA CON UNIVERSITÀ - VERONA,ALTRA,19,2017
501,AZIENDA ULSS N. 1 DOLOMITI,ANESTESIA GENERALE,100,2018
501,AZIENDA ULSS N. 1 DOLOMITI,ANESTESIA LOCALE,74,2018
