nome_azienda,categoria,valori,anno
101,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,26.0,1
101,CONSULTORIO FAMILIARE PUBBLICO,29.0,1
101,MEDICO DI FIDUCIA,41.0,1
102,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,48.0,1
102,CONSULTORIO FAMILIARE PUBBLICO,51.0,1
102,MEDICO DI FIDUCIA,17.0,1
102,ALTRA STRUTTURA SOCIO-SANITARIA,4.0,1
103,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,8.0,1
103,CONSULTORIO FAMILIARE PUBBLICO,96.0,1
103,MEDICO DI FIDUCIA,23.0,1
103,ALTRA STRUTTURA SOCIO-SANITARIA,1.0,1
104,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,25.0,1
104,CONSULTORIO FAMILIARE PUBBLICO,115.0,1
104,MEDICO DI FIDUCIA,43.0,1
105,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,19.0,1
105,MEDICO DI FIDUCIA,52.0,1
105,CONSULTORIO FAMILIARE PUBBLICO,74.0,1
105,ALTRA STRUTTURA SOCIO-SANITARIA,7.0,1
106,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,27.0,1
106,MANCANTE PER IMMEDIATO PERICOLO DI VITA DELLA DONNA,1.0,1
106,CONSULTORIO FAMILIARE PUBBLICO,143.0,1
106,MEDICO DI FIDUCIA,103.0,1
106,ALTRA STRUTTURA SOCIO-SANITARIA,3.0,1
107,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,223.0,1
107,MEDICO DI FIDUCIA,55.0,1
107,CONSULTORIO FAMILIARE PUBBLICO,32.0,1
107,ALTRA STRUTTURA SOCIO-SANITARIA,4.0,1
108,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,129.0,1
108,CONSULTORIO FAMILIARE PUBBLICO,159.0,1
108,MEDICO DI FIDUCIA,7.0,1
108,ALTRA STRUTTURA SOCIO-SANITARIA,4.0,1
109,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,46.0,1
109,CONSULTORIO FAMILIARE PUBBLICO,241.0,1
109,MEDICO DI FIDUCIA,55.0,1
109,ALTRA STRUTTURA SOCIO-SANITARIA,16.0,1
110,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,13.0,1
110,CONSULTORIO FAMILIARE PUBBLICO,103.0,1
110,MEDICO DI FIDUCIA,27.0,1
110,ALTRA STRUTTURA SOCIO-SANITARIA,1.0,1
112,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,40.0,1
112,MEDICO DI FIDUCIA,159.0,1
112,CONSULTORIO FAMILIARE PUBBLICO,286.0,1
112,ALTRA STRUTTURA SOCIO-SANITARIA,11.0,1
113,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,66.0,1
113,CONSULTORIO FAMILIARE PUBBLICO,107.0,1
113,MEDICO DI FIDUCIA,154.0,1
113,ALTRA STRUTTURA SOCIO-SANITARIA,15.0,1
114,SERVIZIO OSTETRICO-GINECOLOGICO DI ISTITUTO DI CURA,12.0,1
114,MEDICO DI FIDUCIA,39.0,1
