nome_azienda,categoria,valori,anno,tipo
101,ITALIANE,75.0,1,inner
101,STRANIERE,21.0,1,inner
101,UCRAINA,3.0,1,outer
101,ROMANIA,3.0,1,outer
101,CAMERUN,2.0,1,outer
101,ALTRE,13.0,1,outer
102,ITALIANE,91.0,1,inner
102,STRANIERE,29.0,1,inner
102,MAROCCO,7.0,1,outer
102,ALBANIA,4.0,1,outer
102,UCRAINA,4.0,1,outer
102,ALTRE,14.0,1,outer
103,ITALIANE,70.0,1,inner
103,STRANIERE,58.0,1,inner
103,ROMANIA,8.0,1,outer
103,GHANA,5.0,1,outer
103,KOSOVO,5.0,1,outer
103,ALTRE,40.0,1,outer
104,ITALIANE,107.0,1,inner
104,STRANIERE,75.0,1,inner
104,ROMANIA,10.0,1,outer
104,BANGLADESH,9.0,1,outer
104,REPUBBLICA POPOLARE CINESE,8.0,1,outer
104,ALTRE,48.0,1,outer
105,STRANIERE,80.0,1,inner
105,ITALIANE,72.0,1,inner
105,INDIA,22.0,1,outer
105,GHANA,11.0,1,outer
105,REPUBBLICA DI SERBIA,8.0,1,outer
105,ALTRE,39.0,1,outer
106,ITALIANE,146.0,1,inner
106,STRANIERE,131.0,1,inner
106,ROMANIA,29.0,1,outer
106,REPUBBLICA DI SERBIA,15.0,1,outer
106,MOLDOVA,12.0,1,outer
106,ALTRE,75.0,1,outer
107,ITALIANE,200.0,1,inner
107,STRANIERE,113.0,1,inner
107,ALBANIA,20.0,1,outer
107,MAROCCO,17.0,1,outer
107,REPUBBLICA POPOLARE CINESE,12.0,1,outer
107,ALTRE,64.0,1,outer
108,ITALIANE,173.0,1,inner
108,STRANIERE,125.0,1,inner
108,REPUBBLICA POPOLARE CINESE,28.0,1,outer
108,ROMANIA,24.0,1,outer
108,MAROCCO,12.0,1,outer
108,ALTRE,61.0,1,outer
109,ITALIANE,210.0,1,inner
109,STRANIERE,147.0,1,inner
109,ROMANIA,30.0,1,outer
109,REPUBBLICA POPOLARE CINESE,15.0,1,outer
109,NIGERIA,15.0,1,outer
109,ALTRE,87.0,1,outer
110,ITALIANE,81.0,1,inner
110,STRANIERE,63.0,1,inner
110,ROMANIA,12.0,1,outer
110,ALBANIA,8.0,1,outer
110,BANGLADESH,5.0,1,outer
110,ALTRE,38.0,1,outer
112,ITALIANE,269.0,1,inner
112,STRANIERE,227.0,1,inner
112,REPUBBLICA POPOLARE CINESE,43.0,1,outer
112,ROMANIA,37.0,1,outer
112,MOLDOVA,34.0,1,outer
112,ALTRE,113.0,1,outer
113,ITALIANE,221.0,1,inner
113,STRANIERE,118.0,1,inner
113,ROMANIA,29.0,1,outer
113,REPUBBLICA POPOLARE CINESE,17.0,1,outer
113,MAROCCO,14.0,1,outer
113,ALTRE,58.0,1,outer
114,ITALIANE,42.0,1,inner
114,STRANIERE,17.0,1,inner
114,ROMANIA,5.0,1,outer
114,MOLDOVA,2.0,1,outer
114,TAIWAN,2.0,1,outer
114,ALTRE,8.0,1,outer
115,ITALIANE,108.0,1,inner
115,STRANIERE,70.0,1,inner
115,ROMANIA,30.0,1,outer
115,ALBANIA,6.0,1,outer
115,MAROCCO,5.0,1,outer
115,ALTRE,29.0,1,outer
116,ITALIANE,92.0,1,inner
116,STRANIERE,77.0,1,inner
116,ROMANIA,20.0,1,outer
116,REPUBBLICA POPOLARE CINESE,16.0,1,outer
116,MOLDOVA,14.0,1,outer
116,ALTRE,27.0,1,outer
117,ITALIANE,83.0,1,inner
117,STRANIERE,51.0,1,inner
117,REPUBBLICA POPOLARE CINESE,9.0,1,outer
117,ROMANIA,7.0,1,outer
117,MOLDOVA,6.0,1,outer
117,ALTRE,29.0,1,outer
118,ITALIANE,129.0,1,inner
118,STRANIERE,56.0,1,inner
118,REPUBBLICA POPOLARE CINESE,21.0,1,outer
118,ROMANIA,9.0,1,outer
118,MAROCCO,6.0,1,outer
118,ALTRE,20.0,1,outer
119,ITALIANE,21.0,1,inner
119,STRANIERE,11.0,1,inner
119,REPUBBLICA POPOLARE CINESE,4.0,1,outer
119,ALBANIA,2.0,1,outer
119,MAROCCO,2.0,1,outer
119,ALTRE,3.0,1,outer
120,STRANIERE,72.0,1,inner
120,ITALIANE,69.0,1,inner
120,ROMANIA,14.0,1,outer
120,INDIA,11.0,1,outer
120,ALBANIA,8.0,1,outer
120,ALTRE,39.0,1,outer
121,ITALIANE,61.0,1,inner
121,STRANIERE,43.0,1,inner
121,ROMANIA,18.0,1,outer
121,MAROCCO,9.0,1,outer
121,REPUBBLICA POPOLARE CINESE,4.0,1,outer
121,ALTRE,12.0,1,outer
122,ITALIANE,31.0,1,inner
122,STRANIERE,21.0,1,inner
122,ROMANIA,8.0,1,outer
122,SRI LANKA,2.0,1,outer
122,REPUBBLICA POPOLARE CINESE,2.0,1,outer
122,ALTRE,9.0,1,outer
501,ALTRE,,1,outer
502,ALTRE,,1,outer
503,ALTRE,,1,outer
504,ALTRE,,1,outer
505,ALTRE,,1,outer
506,ALTRE,,1,outer
507,ALTRE,,1,outer
508,ALTRE,,1,outer
509,ALTRE,,1,outer
901,ITALIANE,186.0,1,inner
901,STRANIERE,162.0,1,inner
901,ROMANIA,34.0,1,outer
901,REPUBBLICA POPOLARE CINESE,25.0,1,outer
901,MOLDOVA,21.0,1,outer
901,ALTRE,82.0,1,outer
912,ITALIANE,365.0,1,inner
912,STRANIERE,361.0,1,inner
912,ROMANIA,83.0,1,outer
912,NIGERIA,52.0,1,outer
912,MAROCCO,31.0,1,outer
912,ALTRE,195.0,1,outer
101,ITALIANE,56.0,2,inner
101,STRANIERE,22.0,2,inner
101,ROMANIA,4.0,2,outer
101,BOSNIA-ERZEGOVINA,2.0,2,outer
101,ALBANIA,2.0,2,outer
101,ALTRE,14.0,2,outer
102,ITALIANE,87.0,2,inner
102,STRANIERE,34.0,2,inner
102,MACEDONIA DEL NORD,6.0,2,outer
102,REPUBBLICA POPOLARE CINESE,5.0,2,outer
102,ROMANIA,4.0,2,outer
102,ALTRE,19.0,2,outer
103,ITALIANE,62.0,2,inner
103,STRANIERE,43.0,2,inner
103,ROMANIA,5.0,2,outer
103,GHANA,5.0,2,outer
103,REPUBBLICA DOMINICANA,4.0,2,outer
103,ALTRE,29.0,2,outer
104,ITALIANE,120.0,2,inner
104,STRANIERE,78.0,2,inner
104,ROMANIA,17.0,2,outer
104,REPUBBLICA DI SERBIA,9.0,2,outer
104,NIGERIA,8.0,2,outer
104,ALTRE,44.0,2,outer
105,STRANIERE,81.0,2,inner
105,ITALIANE,81.0,2,inner
105,INDIA,24.0,2,outer
105,REPUBBLICA DI SERBIA,12.0,2,outer
105,ROMANIA,6.0,2,outer
105,ALTRE,39.0,2,outer
106,ITALIANE,175.0,2,inner
106,STRANIERE,121.0,2,inner
106,ROMANIA,23.0,2,outer
106,NIGERIA,14.0,2,outer
106,ALBANIA,11.0,2,outer
106,ALTRE,73.0,2,outer
107,ITALIANE,174.0,2,inner
107,STRANIERE,95.0,2,inner
107,ALBANIA,14.0,2,outer
107,REPUBBLICA POPOLARE CINESE,13.0,2,outer
107,MAROCCO,11.0,2,outer
107,ALTRE,57.0,2,outer
108,ITALIANE,146.0,2,inner
108,STRANIERE,99.0,2,inner
108,ROMANIA,22.0,2,outer
