nome_azienda,nome,categoria,valori,anno
101,BELLUNO,Aborto incompleto,96,2015
102,FELTRE,Aborto incompleto,116,2015
102,FELTRE,Altro,4,2015
103,BASSANO DEL GRAPPA,Altro,3,2015
103,BASSANO DEL GRAPPA,Aborto incompleto,125,2015
104,THIENE,Aborto incompleto,183,2015
105,ARZIGNANO,Aborto incompleto,151,2015
105,ARZIGNANO,Infezione,1,2015
106,VICENZA,Aborto incompleto,276,2015
106,VICENZA,Altro,1,2015
107,PIEVE DI SOLIGO,Aborto incompleto,313,2015
108,ASOLO,Aborto incompleto,195,2015
108,ASOLO,Altro,102,2015
108,ASOLO,Emorragia,2,2015
109,TREVISO,Altro,10,2015
109,TREVISO,Aborto incompleto,346,2015
109,TREVISO,Emorragia,1,2015
109,TREVISO,Infezione,1,2015
110,S. DONA' DI PIAVE,Aborto incompleto,143,2015
110,S. DONA' DI PIAVE,Infezione,1,2015
112,VENEZIANA,Altro,2,2015
112,VENEZIANA,Aborto incompleto,491,2015
112,VENEZIANA,Emorragia,3,2015
113,MIRANO,Aborto incompleto,341,2015
113,MIRANO,Emorragia,1,2015
114,CHIOGGIA,Aborto incompleto,58,2015
114,CHIOGGIA,Emorragia,1,2015
115,CITTADELLA,Aborto incompleto,178,2015
116,PADOVA,Aborto incompleto,163,2015
117,ESTE,Aborto incompleto,134,2015
118,ROVIGO,Altro,1,2015
118,ROVIGO,Aborto incompleto,182,2015
118,ROVIGO,Infezione,2,2015
119,ADRIA,Aborto incompleto,28,2015
119,ADRIA,Altro,4,2015
120,VERONA,Aborto incompleto,139,2015
120,VERONA,Infezione,1,2015
120,VERONA,Emorragia,1,2015
121,LEGNAGO,Aborto incompleto,80,2015
121,LEGNAGO,Altro,24,2015
122,BUSSOLENGO,Aborto incompleto,52,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,Altro,4,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,Aborto incompleto,340,2015
901,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,Emorragia,2,2015
