nome_azienda,nome,categoria,valori,anno
101,101 - BELLUNO,Aborto incompleto,96.0,1
102,102 - FELTRE,Aborto incompleto,116.0,1
102,102 - FELTRE,Altro,4.0,1
103,103 - BASSANO DEL GRAPPA,Altro,3.0,1
103,103 - BASSANO DEL GRAPPA,Aborto incompleto,125.0,1
104,104 - THIENE,Aborto incompleto,183.0,1
105,105 - ARZIGNANO,Aborto incompleto,151.0,1
105,105 - ARZIGNANO,Infezione,1.0,1
106,106 - VICENZA,Aborto incompleto,276.0,1
106,106 - VICENZA,Altro,1.0,1
107,107 - PIEVE DI SOLIGO,Aborto incompleto,313.0,1
108,108 - ASOLO,Aborto incompleto,195.0,1
108,108 - ASOLO,Altro,102.0,1
108,108 - ASOLO,Emorragia,2.0,1
109,109 - TREVISO,Altro,10.0,1
109,109 - TREVISO,Aborto incompleto,346.0,1
109,109 - TREVISO,Emorragia,1.0,1
109,109 - TREVISO,Infezione,1.0,1
110,110 - S. DONA' DI PIAVE,Aborto incompleto,143.0,1
110,110 - S. DONA' DI PIAVE,Infezione,1.0,1
112,112 - VENEZIANA,Altro,2.0,1
112,112 - VENEZIANA,Aborto incompleto,491.0,1
112,112 - VENEZIANA,Emorragia,3.0,1
113,113 - MIRANO,Aborto incompleto,341.0,1
113,113 - MIRANO,Emorragia,1.0,1
114,114 - CHIOGGIA,Aborto incompleto,58.0,1
114,114 - CHIOGGIA,Emorragia,1.0,1
115,115 - CITTADELLA,Aborto incompleto,178.0,1
116,116 - PADOVA,Aborto incompleto,163.0,1
117,117 - ESTE,Aborto incompleto,134.0,1
118,118 - ROVIGO,Altro,1.0,1
118,118 - ROVIGO,Aborto incompleto,182.0,1
118,118 - ROVIGO,Infezione,2.0,1
119,119 - ADRIA,Aborto incompleto,28.0,1
119,119 - ADRIA,Altro,4.0,1
120,120 - VERONA,Aborto incompleto,139.0,1
120,120 - VERONA,Infezione,1.0,1
120,120 - VERONA,Emorragia,1.0,1
121,121 - LEGNAGO,Aborto incompleto,80.0,1
121,121 - LEGNAGO,Altro,24.0,1
122,122 - BUSSOLENGO,Aborto incompleto,52.0,1
901,901 - AZIENDA OSPEDALE - UNIVERSITÀ PADOVA,Altro,4.0,1
