nome_azienda,categoria,valori,anno
101,STUDENTESSA,9.0,1
101,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
101,DISOCCUPATA,7.0,1
101,CASALINGA,11.0,1
101,OCCUPATA,68.0,1
102,STUDENTESSA,6.0,1
102,IN CERCA DI PRIMA OCCUPAZIONE,3.0,1
102,DISOCCUPATA,19.0,1
102,CASALINGA,11.0,1
102,OCCUPATA,81.0,1
103,STUDENTESSA,17.0,1
103,IN CERCA DI PRIMA OCCUPAZIONE,3.0,1
103,DISOCCUPATA,23.0,1
103,CASALINGA,29.0,1
103,OCCUPATA,56.0,1
104,STUDENTESSA,16.0,1
104,IN CERCA DI PRIMA OCCUPAZIONE,5.0,1
104,DISOCCUPATA,33.0,1
104,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",2.0,1
104,CASALINGA,30.0,1
104,OCCUPATA,97.0,1
105,STUDENTESSA,12.0,1
105,IN CERCA DI PRIMA OCCUPAZIONE,6.0,1
105,DISOCCUPATA,33.0,1
105,CASALINGA,44.0,1
105,OCCUPATA,57.0,1
106,STUDENTESSA,26.0,1
106,IN CERCA DI PRIMA OCCUPAZIONE,15.0,1
106,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",2.0,1
106,DISOCCUPATA,40.0,1
106,CASALINGA,49.0,1
106,OCCUPATA,145.0,1
107,STUDENTESSA,27.0,1
107,IN CERCA DI PRIMA OCCUPAZIONE,3.0,1
107,DISOCCUPATA,42.0,1
107,CASALINGA,68.0,1
107,OCCUPATA,174.0,1
108,STUDENTESSA,18.0,1
108,IN CERCA DI PRIMA OCCUPAZIONE,3.0,1
108,DISOCCUPATA,42.0,1
108,CASALINGA,63.0,1
108,OCCUPATA,173.0,1
109,STUDENTESSA,18.0,1
109,IN CERCA DI PRIMA OCCUPAZIONE,2.0,1
109,DISOCCUPATA,93.0,1
109,CASALINGA,69.0,1
109,OCCUPATA,176.0,1
110,STUDENTESSA,8.0,1
110,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
110,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",1.0,1
110,DISOCCUPATA,44.0,1
110,CASALINGA,28.0,1
110,OCCUPATA,62.0,1
112,STUDENTESSA,53.0,1
112,IN CERCA DI PRIMA OCCUPAZIONE,4.0,1
112,DISOCCUPATA,134.0,1
112,CASALINGA,73.0,1
112,OCCUPATA,232.0,1
113,STUDENTESSA,29.0,1
113,IN CERCA DI PRIMA OCCUPAZIONE,6.0,1
113,DISOCCUPATA,89.0,1
113,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",2.0,1
113,CASALINGA,32.0,1
113,OCCUPATA,184.0,1
114,STUDENTESSA,1.0,1
114,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
114,DISOCCUPATA,12.0,1
114,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",1.0,1
114,CASALINGA,8.0,1
114,OCCUPATA,36.0,1
115,STUDENTESSA,17.0,1
115,IN CERCA DI PRIMA OCCUPAZIONE,2.0,1
115,DISOCCUPATA,38.0,1
115,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",2.0,1
115,CASALINGA,26.0,1
115,OCCUPATA,93.0,1
116,STUDENTESSA,8.0,1
116,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
116,DISOCCUPATA,55.0,1
116,CASALINGA,15.0,1
116,OCCUPATA,90.0,1
117,STUDENTESSA,6.0,1
117,IN CERCA DI PRIMA OCCUPAZIONE,5.0,1
117,DISOCCUPATA,51.0,1
117,"ALTRA CONDIZIONE DIPENDENTE(APPRENDISTA, LAVORO A DOMICILI, ECC)",2.0,1
117,CASALINGA,17.0,1
117,OCCUPATA,53.0,1
118,STUDENTESSA,17.0,1
118,IN CERCA DI PRIMA OCCUPAZIONE,3.0,1
118,DISOCCUPATA,29.0,1
118,CASALINGA,34.0,1
118,OCCUPATA,102.0,1
119,DISOCCUPATA,7.0,1
119,CASALINGA,9.0,1
119,OCCUPATA,16.0,1
120,STUDENTESSA,6.0,1
120,IN CERCA DI PRIMA OCCUPAZIONE,4.0,1
120,DISOCCUPATA,34.0,1
120,CASALINGA,31.0,1
120,OCCUPATA,66.0,1
121,STUDENTESSA,5.0,1
121,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
121,DISOCCUPATA,21.0,1
121,CASALINGA,30.0,1
121,OCCUPATA,47.0,1
122,STUDENTESSA,3.0,1
122,IN CERCA DI PRIMA OCCUPAZIONE,1.0,1
