anno,nome,"altra_condizione_dipendente(apprendista,_lavoro_a_domicili,_ecc)",casalinga,disoccupata,in_cerca_di_prima_occupazione,occupata,studentessa
2015,A.O. Integrata Con Università - Verona,1.0,121.0,158.0,7.0,360.0,84.0
2015,Adria,0.0,9.0,7.0,0.0,16.0,0.0
2015,Arzignano,0.0,44.0,33.0,6.0,57.0,12.0
2015,Asolo,0.0,63.0,42.0,3.0,173.0,18.0
2015,Azienda Ospedale - Università Padova,1.0,32.0,110.0,12.0,174.0,20.0
2015,Bassano Del Grappa,0.0,29.0,23.0,3.0,56.0,17.0
2015,Belluno,0.0,11.0,7.0,1.0,68.0,9.0
2015,Bussolengo,0.0,7.0,10.0,1.0,31.0,3.0
2015,Chioggia,1.0,8.0,12.0,1.0,36.0,1.0
2015,Cittadella,2.0,26.0,38.0,2.0,93.0,17.0
2015,Este,2.0,17.0,51.0,5.0,53.0,6.0
2015,Feltre,0.0,11.0,19.0,3.0,81.0,6.0
2015,Legnago,0.0,30.0,21.0,1.0,47.0,5.0
2015,Mirano,2.0,32.0,89.0,6.0,184.0,29.0
2015,Padova,0.0,15.0,55.0,1.0,90.0,8.0
2015,Pieve Di Soligo,0.0,68.0,42.0,3.0,174.0,27.0
2015,Rovigo,0.0,34.0,29.0,3.0,102.0,17.0
2015,S. Dona' Di Piave,1.0,28.0,44.0,1.0,62.0,8.0
2015,Thiene,2.0,30.0,33.0,5.0,97.0,16.0
2015,Treviso,0.0,69.0,93.0,2.0,176.0,18.0
2015,Veneziana,0.0,73.0,134.0,4.0,232.0,53.0
2015,Verona,0.0,31.0,34.0,4.0,66.0,6.0
2015,Vicenza,2.0,49.0,40.0,15.0,145.0,26.0
2016,A.O. Integrata Con Università - Verona,6.0,140.0,186.0,7.0,325.0,65.0
2016,Adria,0.0,5.0,19.0,4.0,14.0,3.0
2016,Arzignano,1.0,50.0,37.0,1.0,61.0,13.0
2016,Asolo,0.0,47.0,30.0,0.0,147.0,21.0
2016,Azienda Ospedale - Università Padova,0.0,23.0,83.0,12.0,173.0,32.0
2016,Bassano Del Grappa,1.0,15.0,13.0,2.0,60.0,14.0
2016,Belluno,0.0,16.0,7.0,0.0,52.0,3.0
2016,Bussolengo,1.0,19.0,20.0,2.0,62.0,7.0
2016,Chioggia,1.0,12.0,19.0,1.0,47.0,3.0
2016,Cittadella,1.0,28.0,31.0,2.0,129.0,19.0
2016,Este,1.0,13.0,40.0,1.0,72.0,9.0
