nome_azienda,nome,categoria,valori,anno
101,BELLUNO,<= 8,38,2015
101,BELLUNO,9-10,40,2015
101,BELLUNO,11-12,16,2015
101,BELLUNO,16-20,1,2015
101,BELLUNO,>=21,1,2015
102,FELTRE,<= 8,42,2015
102,FELTRE,9-10,61,2015
102,FELTRE,11-12,13,2015
102,FELTRE,13-15,1,2015
102,FELTRE,16-20,3,2015
103,BASSANO DEL GRAPPA,<= 8,47,2015
103,BASSANO DEL GRAPPA,9-10,59,2015
103,BASSANO DEL GRAPPA,11-12,22,2015
104,THIENE,<= 8,87,2015
104,THIENE,9-10,57,2015
104,THIENE,11-12,31,2015
104,THIENE,13-15,4,2015
104,THIENE,16-20,4,2015
105,ARZIGNANO,<= 8,36,2015
105,ARZIGNANO,9-10,71,2015
105,ARZIGNANO,11-12,34,2015
105,ARZIGNANO,13-15,3,2015
105,ARZIGNANO,16-20,6,2015
105,ARZIGNANO,>=21,2,2015
106,VICENZA,<= 8,4,2015
106,VICENZA,9-10,113,2015
106,VICENZA,11-12,13,2015
106,VICENZA,13-15,2,2015
106,VICENZA,16-20,4,2015
106,VICENZA,>=21,7,2015
106,VICENZA,<= 8,17,2015
106,VICENZA,9-10,100,2015
106,VICENZA,11-12,17,2015
107,PIEVE DI SOLIGO,<= 8,79,2015
107,PIEVE DI SOLIGO,9-10,57,2015
107,PIEVE DI SOLIGO,11-12,10,2015
107,PIEVE DI SOLIGO,13-15,4,2015
107,PIEVE DI SOLIGO,16-20,4,2015
107,PIEVE DI SOLIGO,>=21,3,2015
107,PIEVE DI SOLIGO,<= 8,93,2015
107,PIEVE DI SOLIGO,9-10,43,2015
107,PIEVE DI SOLIGO,11-12,16,2015
107,PIEVE DI SOLIGO,16-20,3,2015
107,PIEVE DI SOLIGO,>=21,2,2015
108,ASOLO,<= 8,122,2015
108,ASOLO,9-10,77,2015
108,ASOLO,11-12,38,2015
108,ASOLO,13-15,9,2015
108,ASOLO,16-20,10,2015
108,ASOLO,>=21,7,2015
108,ASOLO,<= 8,7,2015
108,ASOLO,9-10,23,2015
108,ASOLO,11-12,1,2015
108,ASOLO,16-20,4,2015
108,ASOLO,>=21,1,2015
109,TREVISO,<= 8,22,2015
109,TREVISO,9-10,20,2015
109,TREVISO,11-12,3,2015
109,TREVISO,13-15,3,2015
109,TREVISO,16-20,1,2015
109,TREVISO,>=21,2,2015
109,TREVISO,<= 8,61,2015
