nome_azienda,nome,categoria,valori,anno
101,OSPEDALE S. MARTINO BELLUNO,ALTRE FORME DI ISTEROSUZIONE,2.0,1
101,OSPEDALE S. MARTINO BELLUNO,RASCHIAMENTO,1.0,1
101,OSPEDALE S. MARTINO BELLUNO,METODO DI KARMAN,93.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',RASCHIAMENTO,4.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ALTRO (NON FARMACOLOGICO),1.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',METODO DI KARMAN,99.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,15.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
103,OSPEDALE DI ASIAGO,ALTRE FORME DI ISTEROSUZIONE,80.0,1
103,OSPEDALE DI ASIAGO,RASCHIAMENTO,2.0,1
103,OSPEDALE DI ASIAGO,METODO DI KARMAN,33.0,1
103,OSPEDALE DI ASIAGO,ALTRO (NON FARMACOLOGICO),1.0,1
103,OSPEDALE DI ASIAGO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,11.0,1
103,OSPEDALE DI ASIAGO,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
104,OSPEDALE ALTO VICENTINO,RASCHIAMENTO,41.0,1
104,OSPEDALE ALTO VICENTINO,ALTRO (NON FARMACOLOGICO),4.0,1
104,OSPEDALE ALTO VICENTINO,METODO DI KARMAN,63.0,1
104,OSPEDALE ALTO VICENTINO,ALTRE FORME DI ISTEROSUZIONE,74.0,1
104,OSPEDALE ALTO VICENTINO,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
105,OSPEDALE DI ARZIGNANO,METODO DI KARMAN,142.0,1
105,OSPEDALE DI ARZIGNANO,ALTRO (NON FARMACOLOGICO),10.0,1
106,PRES. OSP.  NOVENTA VICENTINA,ALTRE FORME DI ISTEROSUZIONE,52.0,1
106,PRES. OSP.  NOVENTA VICENTINA,RASCHIAMENTO,12.0,1
106,PRES. OSP.  NOVENTA VICENTINA,METODO DI KARMAN,70.0,1
106,PRES. OSPED. VICENZA,ALTRE FORME DI ISTEROSUZIONE,2.0,1
106,PRES. OSPED. VICENZA,RASCHIAMENTO,23.0,1
106,PRES. OSPED. VICENZA,METODO DI KARMAN,114.0,1
106,PRES. OSPED. VICENZA,ALTRO (NON FARMACOLOGICO),4.0,1
107,OSPEDALE DI CONEGLIANO,ALTRO (NON FARMACOLOGICO),8.0,1
107,OSPEDALE DI CONEGLIANO,ALTRE FORME DI ISTEROSUZIONE,127.0,1
107,OSPEDALE DI CONEGLIANO,RASCHIAMENTO,3.0,1
107,OSPEDALE DI CONEGLIANO,METODO DI KARMAN,12.0,1
107,OSPEDALE DI CONEGLIANO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,7.0,1
107,OSPEDALE DI VITTORIO VENETO,ALTRO (NON FARMACOLOGICO),3.0,1
107,OSPEDALE DI VITTORIO VENETO,METODO DI KARMAN,154.0,1
108,OSPEDALE DI CASTELFRANCO VENETO,METODO DI KARMAN,29.0,1
108,OSPEDALE DI CASTELFRANCO VENETO,ALTRO (NON FARMACOLOGICO),5.0,1
108,OSPEDALE DI CASTELFRANCO VENETO,RASCHIAMENTO,2.0,1
108,OSPEDALE DI MONTEBELLUNA,ALTRO (NON FARMACOLOGICO),26.0,1
108,OSPEDALE DI MONTEBELLUNA,RASCHIAMENTO,1.0,1
108,OSPEDALE DI MONTEBELLUNA,ALTRE FORME DI ISTEROSUZIONE,134.0,1
108,OSPEDALE DI MONTEBELLUNA,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,101.0,1
108,OSPEDALE DI MONTEBELLUNA,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,1.0,1
109,OSPEDALE CA' FONCELLO,RASCHIAMENTO,90.0,1
109,OSPEDALE CA' FONCELLO,ALTRE FORME DI ISTEROSUZIONE,187.0,1
109,OSPEDALE CA' FONCELLO,METODO DI KARMAN,6.0,1
109,OSPEDALE CA' FONCELLO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,19.0,1
109,OSPEDALE CA' FONCELLO,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,5.0,1
109,OSPEDALE DI ODERZO,ALTRE FORME DI ISTEROSUZIONE,46.0,1
109,OSPEDALE DI ODERZO,SOLA SOMMINISTRAZIONE DI PROSTAGLANDINA,5.0,1
110,ALTRO,METODO DI KARMAN,9.0,1
110,ALTRO,RASCHIAMENTO,5.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,METODO DI KARMAN,127.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,RASCHIAMENTO,2.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,ALTRO (NON FARMACOLOGICO),1.0,1
112,OSPEDALE DELL'ANGELO,RASCHIAMENTO,100.0,1
112,OSPEDALE DELL'ANGELO,METODO DI KARMAN,128.0,1
112,OSPEDALE DELL'ANGELO,ALTRE FORME DI ISTEROSUZIONE,121.0,1
112,OSPEDALE DELL'ANGELO,ALTRO (NON FARMACOLOGICO),5.0,1
112,OSPEDALE DELL'ANGELO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,8.0,1
112,OSPEDALE DELL'ANGELO,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,2.0,1
112,OSPEDALE CIVILE VENEZIA,RASCHIAMENTO,7.0,1
112,OSPEDALE CIVILE VENEZIA,METODO DI KARMAN,119.0,1
112,OSPEDALE CIVILE VENEZIA,ALTRE FORME DI ISTEROSUZIONE,6.0,1
113,OSPEDALE  DI MIRANO,ALTRE FORME DI ISTEROSUZIONE,134.0,1
113,OSPEDALE  DI MIRANO,ALTRO (NON FARMACOLOGICO),5.0,1
113,OSPEDALE  DI MIRANO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,4.0,1
113,OSPEDALE  DI DOLO,ALTRE FORME DI ISTEROSUZIONE,192.0,1
113,OSPEDALE  DI DOLO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,1.0,1
113,OSPEDALE  DI DOLO,RASCHIAMENTO,3.0,1
113,OSPEDALE  DI DOLO,SOLA SOMMINISTRAZIONE DI PROSTAGLANDINA,2.0,1
113,OSPEDALE  DI DOLO,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
114,OSPEDALE CIVILE MADONNA DELLA NAVICELLA,RASCHIAMENTO,2.0,1
114,OSPEDALE CIVILE MADONNA DELLA NAVICELLA,ALTRO (NON FARMACOLOGICO),2.0,1
114,OSPEDALE CIVILE MADONNA DELLA NAVICELLA,ALTRE FORME DI ISTEROSUZIONE,54.0,1
114,OSPEDALE CIVILE MADONNA DELLA NAVICELLA,METODO DI KARMAN,1.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,RASCHIAMENTO,29.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,ALTRE FORME DI ISTEROSUZIONE,37.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,METODO DI KARMAN,4.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,ALTRO (NON FARMACOLOGICO),1.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,75.0,1
115,PRESIDIO OSPEDALIERO DI CITTADELLA,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
115,PRESIDIO OSPEDALIERO DI CAMPOSAMPIERO,RASCHIAMENTO,1.0,1
115,PRESIDIO OSPEDALIERO DI CAMPOSAMPIERO,ALTRE FORME DI ISTEROSUZIONE,25.0,1
115,PRESIDIO OSPEDALIERO DI CAMPOSAMPIERO,METODO DI KARMAN,5.0,1
116,OSP. IMMACOL. CONCEZ. DI PIOVE DI SACCO,RASCHIAMENTO,2.0,1
116,OSP. IMMACOL. CONCEZ. DI PIOVE DI SACCO,ALTRE FORME DI ISTEROSUZIONE,167.0,1
117,OSPEDALI RIUNITI PADOVA SUD,RASCHIAMENTO,4.0,1
117,OSPEDALI RIUNITI PADOVA SUD,ALTRO (NON FARMACOLOGICO),9.0,1
117,OSPEDALI RIUNITI PADOVA SUD,METODO DI KARMAN,121.0,1
118,P.O. DI TRECENTA,ALTRE FORME DI ISTEROSUZIONE,114.0,1
118,P.O. DI TRECENTA,RASCHIAMENTO,1.0,1
118,P.O. DI TRECENTA,ALTRO (NON FARMACOLOGICO),7.0,1
118,P.O. DI TRECENTA,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,61.0,1
118,P.O. DI ROVIGO,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,2.0,1
119,OSPEDALE CIVILE DI ADRIA,RASCHIAMENTO,9.0,1
119,OSPEDALE CIVILE DI ADRIA,ALTRE FORME DI ISTEROSUZIONE,18.0,1
119,OSPEDALE CIVILE DI ADRIA,ALTRO (NON FARMACOLOGICO),1.0,1
119,OSPEDALE CIVILE DI ADRIA,SOLA SOMMINISTRAZIONE DI PROSTAGLANDINA,4.0,1
120,POLO OSP. DELL'EST VERONESE,METODO DI KARMAN,138.0,1
120,POLO OSP. DELL'EST VERONESE,ALTRE FORME DI ISTEROSUZIONE,2.0,1
120,POLO OSP. DELL'EST VERONESE,RASCHIAMENTO,1.0,1
121,OSPEDALE PER ACUTI,ALTRE FORME DI ISTEROSUZIONE,4.0,1
121,OSPEDALE PER ACUTI,METODO DI KARMAN,30.0,1
121,OSPEDALE PER ACUTI,RASCHIAMENTO,29.0,1
121,OSPEDALE PER ACUTI,SOLA SOMMINISTRAZIONE DI PROSTAGLANDINA,40.0,1
121,OSPEDALE PER ACUTI,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,1.0,1
122,OSPEDALE PEDERZOLI CASA DI CURA SPA,ALTRE FORME DI ISTEROSUZIONE,1.0,1
122,OSPEDALE PEDERZOLI CASA DI CURA SPA,RASCHIAMENTO,5.0,1
122,OSPEDALE CIVILE ORLANDI BUSSOLENGO,ALTRE FORME DI ISTEROSUZIONE,2.0,1
122,OSPEDALE CIVILE ORLANDI BUSSOLENGO,RASCHIAMENTO,9.0,1
122,OSPEDALE CIVILE ORLANDI BUSSOLENGO,METODO DI KARMAN,35.0,1
901,AZIENDA OSPEDALE - UNIVERSITA' PADOVA,ALTRO (NON FARMACOLOGICO),1.0,1
901,AZIENDA OSPEDALE - UNIVERSITA' PADOVA,ALTRE FORME DI ISTEROSUZIONE,16.0,1
901,AZIENDA OSPEDALE - UNIVERSITA' PADOVA,RASCHIAMENTO,325.0,1
901,AZIENDA OSPEDALE - UNIVERSITA' PADOVA,METODO DI KARMAN,7.0,1
912,AOUI VERONA BORGO TRENTO,METODO DI KARMAN,4.0,1
912,AOUI VERONA BORGO TRENTO,ALTRO (NON FARMACOLOGICO),10.0,1
912,AOUI VERONA BORGO TRENTO,ALTRE FORME DI ISTEROSUZIONE,2.0,1
912,AOUI VERONA BORGO TRENTO,RASCHIAMENTO,4.0,1
912,AOUI DI VERONA BORGO ROMA,METODO DI KARMAN,486.0,1
912,AOUI DI VERONA BORGO ROMA,ALTRO (NON FARMACOLOGICO),9.0,1
912,AOUI DI VERONA BORGO ROMA,ALTRE FORME DI ISTEROSUZIONE,8.0,1
912,AOUI DI VERONA BORGO ROMA,RASCHIAMENTO,2.0,1
912,AOUI DI VERONA BORGO ROMA,SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,200.0,1
912,AOUI DI VERONA BORGO ROMA,SOLA SOMMINISTRAZIONE DI MIFEPRISTONE,4.0,1
912,AOUI DI VERONA BORGO ROMA,SOLA SOMMINISTRAZIONE DI PROSTAGLANDINA,2.0,1
101,OSPEDALE S. MARTINO BELLUNO,METODO DI KARMAN,71.0,2
101,OSPEDALE S. MARTINO BELLUNO,ALTRO (NON FARMACOLOGICO),3.0,2
101,OSPEDALE S. MARTINO BELLUNO,RASCHIAMENTO,4.0,2
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',RASCHIAMENTO,10.0,2
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',METODO DI KARMAN,90.0,2
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ALTRE FORME DI ISTEROSUZIONE,3.0,2
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',SOMMINISTRAZIONE DI MIFEPRISTONE E PROSTAGLANDINA,18.0,2
103,OSPEDALE DI ASIAGO,ALTRE FORME DI ISTEROSUZIONE,84.0,2
103,OSPEDALE DI ASIAGO,METODO DI KARMAN,2.0,2
103,OSPEDALE DI ASIAGO,RASCHIAMENTO,3.0,2
