nome_azienda,nome,categoria,valori,anno
101,OSPEDALE S. MARTINO BELLUNO,ANALGESIA SENZA ANESTESIA,1.0,1
101,OSPEDALE S. MARTINO BELLUNO,NESSUNA,1.0,1
101,OSPEDALE S. MARTINO BELLUNO,ANESTESIA GENERALE,94.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',NESSUNA,15.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ALTRA,1.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ANESTESIA GENERALE,9.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ANALGESIA SENZA ANESTESIA,1.0,1
102,OSPEDALE DI FELTRE 'S. MARIA DEL PRATO',ANESTESIA LOCALE,94.0,1
103,OSPEDALE DI ASIAGO,NESSUNA,13.0,1
103,OSPEDALE DI ASIAGO,ANESTESIA GENERALE,115.0,1
104,OSPEDALE ALTO VICENTINO,ANESTESIA GENERALE,68.0,1
104,OSPEDALE ALTO VICENTINO,SEDAZIONE PROFONDA,55.0,1
104,OSPEDALE ALTO VICENTINO,ALTRA,19.0,1
104,OSPEDALE ALTO VICENTINO,ANESTESIA LOCALE,29.0,1
104,OSPEDALE ALTO VICENTINO,ANALGESIA SENZA ANESTESIA,11.0,1
104,OSPEDALE ALTO VICENTINO,NESSUNA,1.0,1
105,OSPEDALE DI ARZIGNANO,NESSUNA,5.0,1
105,OSPEDALE DI ARZIGNANO,SEDAZIONE PROFONDA,143.0,1
105,OSPEDALE DI ARZIGNANO,ANALGESIA SENZA ANESTESIA,4.0,1
106,PRES. OSPED. VICENZA,ANESTESIA GENERALE,121.0,1
106,PRES. OSPED. VICENZA,ALTRA,5.0,1
106,PRES. OSPED. VICENZA,NESSUNA,2.0,1
106,PRES. OSPED. VICENZA,ANALGESIA SENZA ANESTESIA,7.0,1
106,PRES. OSPED. VICENZA,SEDAZIONE PROFONDA,8.0,1
106,PRES. OSP.  NOVENTA VICENTINA,ANESTESIA GENERALE,122.0,1
106,PRES. OSP.  NOVENTA VICENTINA,ALTRA,3.0,1
106,PRES. OSP.  NOVENTA VICENTINA,SEDAZIONE PROFONDA,8.0,1
106,PRES. OSP.  NOVENTA VICENTINA,ANESTESIA LOCALE,1.0,1
107,OSPEDALE DI VITTORIO VENETO,ANESTESIA GENERALE,153.0,1
107,OSPEDALE DI VITTORIO VENETO,ANALGESIA SENZA ANESTESIA,2.0,1
107,OSPEDALE DI VITTORIO VENETO,NESSUNA,2.0,1
107,OSPEDALE DI CONEGLIANO,ANESTESIA GENERALE,29.0,1
107,OSPEDALE DI CONEGLIANO,ANALGESIA SENZA ANESTESIA,10.0,1
107,OSPEDALE DI CONEGLIANO,NESSUNA,11.0,1
107,OSPEDALE DI CONEGLIANO,SEDAZIONE PROFONDA,107.0,1
108,OSPEDALE DI MONTEBELLUNA,ANESTESIA GENERALE,129.0,1
108,OSPEDALE DI MONTEBELLUNA,ANESTESIA LOCALE,1.0,1
108,OSPEDALE DI MONTEBELLUNA,NESSUNA,129.0,1
108,OSPEDALE DI MONTEBELLUNA,ANALGESIA SENZA ANESTESIA,3.0,1
108,OSPEDALE DI MONTEBELLUNA,ALTRA,1.0,1
108,OSPEDALE DI CASTELFRANCO VENETO,ANESTESIA GENERALE,31.0,1
108,OSPEDALE DI CASTELFRANCO VENETO,NESSUNA,5.0,1
109,OSPEDALE CA' FONCELLO,ANESTESIA LOCALE,1.0,1
109,OSPEDALE CA' FONCELLO,ANALGESIA SENZA ANESTESIA,1.0,1
109,OSPEDALE CA' FONCELLO,SEDAZIONE PROFONDA,262.0,1
109,OSPEDALE CA' FONCELLO,ANESTESIA GENERALE,18.0,1
109,OSPEDALE CA' FONCELLO,NESSUNA,25.0,1
109,OSPEDALE DI ODERZO,SEDAZIONE PROFONDA,2.0,1
109,OSPEDALE DI ODERZO,ANESTESIA GENERALE,46.0,1
109,OSPEDALE DI ODERZO,NESSUNA,3.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,NESSUNA,2.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,SEDAZIONE PROFONDA,1.0,1
110,PRESIDIO OSPEDALIERO DI SAN DONA' DI P.,ANESTESIA GENERALE,127.0,1
110,ALTRO,SEDAZIONE PROFONDA,2.0,1
110,ALTRO,ANESTESIA GENERALE,11.0,1
110,ALTRO,ANESTESIA LOCALE,1.0,1
