nome_azienda,nome,categoria,valori,anno
101,2+,NATI VIVI,40.0,1
101,2+,IVG,5.0,1
101,1,NATI VIVI,16.0,1
101,1,IVG,11.0,1
101,0,NATI VIVI,40.0,1
101,0,IVG,80.0,1
102,2+,NATI VIVI,46.0,1
102,2+,IVG,5.0,1
102,1,NATI VIVI,27.0,1
102,1,IVG,14.0,1
102,0,NATI VIVI,47.0,1
102,0,IVG,101.0,1
103,2+,NATI VIVI,47.0,1
103,2+,IVG,13.0,1
103,1,NATI VIVI,28.0,1
103,1,IVG,26.0,1
103,0,NATI VIVI,53.0,1
103,0,IVG,89.0,1
104,2+,NATI VIVI,68.0,1
104,2+,IVG,20.0,1
104,1,NATI VIVI,51.0,1
104,1,IVG,26.0,1
104,0,NATI VIVI,64.0,1
104,0,IVG,137.0,1
105,2+,NATI VIVI,69.0,1
105,2+,IVG,2.0,1
105,1,NATI VIVI,35.0,1
105,1,IVG,14.0,1
105,0,NATI VIVI,48.0,1
105,0,IVG,136.0,1
106,2+,NATI VIVI,108.0,1
106,2+,IVG,18.0,1
106,1,NATI VIVI,64.0,1
106,1,IVG,69.0,1
106,0,NATI VIVI,105.0,1
106,0,IVG,190.0,1
107,2+,NATI VIVI,110.0,1
107,2+,IVG,12.0,1
107,1,NATI VIVI,68.0,1
107,1,IVG,53.0,1
107,0,NATI VIVI,136.0,1
107,0,IVG,249.0,1
108,2+,NATI VIVI,140.0,1
108,2+,IVG,19.0,1
108,1,NATI VIVI,63.0,1
108,1,IVG,54.0,1
108,0,NATI VIVI,96.0,1
108,0,IVG,226.0,1
109,2+,NATI VIVI,125.0,1
109,2+,IVG,15.0,1
109,1,NATI VIVI,82.0,1
109,1,IVG,42.0,1
109,0,NATI VIVI,151.0,1
109,0,IVG,301.0,1
110,2+,NATI VIVI,58.0,1
110,2+,IVG,6.0,1
110,1,NATI VIVI,38.0,1
110,1,IVG,27.0,1
110,0,NATI VIVI,48.0,1
110,0,IVG,111.0,1
112,2+,NATI VIVI,153.0,1
112,2+,IVG,26.0,1
112,1,NATI VIVI,139.0,1
112,1,IVG,79.0,1
112,0,NATI VIVI,204.0,1
112,0,IVG,391.0,1
113,2+,NATI VIVI,119.0,1
113,2+,IVG,18.0,1
113,1,NATI VIVI,78.0,1
113,1,IVG,40.0,1
113,0,NATI VIVI,145.0,1
113,0,IVG,284.0,1
114,2+,NATI VIVI,19.0,1
114,2+,IVG,2.0,1
114,1,NATI VIVI,20.0,1
114,1,IVG,10.0,1
114,0,NATI VIVI,20.0,1
114,0,IVG,47.0,1
115,2+,NATI VIVI,70.0,1
115,2+,IVG,6.0,1
115,1,NATI VIVI,44.0,1
115,1,IVG,31.0,1
115,0,NATI VIVI,64.0,1
115,0,IVG,141.0,1
116,2+,NATI VIVI,68.0,1
116,2+,IVG,13.0,1
116,1,NATI VIVI,28.0,1
116,1,IVG,35.0,1
116,0,NATI VIVI,73.0,1
116,0,IVG,121.0,1
117,2+,NATI VIVI,49.0,1
117,2+,IVG,6.0,1
117,1,NATI VIVI,35.0,1
117,1,IVG,19.0,1
117,0,NATI VIVI,50.0,1
117,0,IVG,109.0,1
118,2+,NATI VIVI,67.0,1
118,2+,IVG,11.0,1
118,1,NATI VIVI,46.0,1
118,1,IVG,27.0,1
118,0,NATI VIVI,72.0,1
118,0,IVG,147.0,1
119,2+,NATI VIVI,11.0,1
119,2+,IVG,3.0,1
119,1,NATI VIVI,6.0,1
119,1,IVG,2.0,1
119,0,NATI VIVI,15.0,1
119,0,IVG,27.0,1
120,2+,NATI VIVI,71.0,1
120,2+,IVG,11.0,1
120,1,NATI VIVI,29.0,1
120,1,IVG,25.0,1
120,0,NATI VIVI,41.0,1
120,0,IVG,105.0,1
121,2+,NATI VIVI,53.0,1
121,2+,IVG,13.0,1
121,1,NATI VIVI,28.0,1
121,1,IVG,20.0,1
121,0,NATI VIVI,23.0,1
121,0,IVG,71.0,1
122,2+,NATI VIVI,20.0,1
122,2+,IVG,4.0,1
122,1,NATI VIVI,16.0,1
122,1,IVG,10.0,1
122,0,NATI VIVI,16.0,1
122,0,IVG,38.0,1
901,2+,NATI VIVI,105.0,1
901,2+,IVG,33.0,1
901,1,NATI VIVI,78.0,1
901,1,IVG,58.0,1
901,0,NATI VIVI,166.0,1
901,0,IVG,258.0,1
912,2+,NATI VIVI,219.0,1
912,2+,IVG,48.0,1
912,1,NATI VIVI,182.0,1
912,1,IVG,134.0,1
912,0,NATI VIVI,330.0,1
912,0,IVG,549.0,1
101,2+,NATI VIVI,32.0,2
101,2+,IVG,6.0,2
101,1,NATI VIVI,24.0,2
101,1,IVG,21.0,2
101,0,NATI VIVI,22.0,2
101,0,IVG,51.0,2
102,2+,NATI VIVI,48.0,2
102,2+,IVG,5.0,2
102,1,NATI VIVI,26.0,2
102,1,IVG,23.0,2
102,0,NATI VIVI,47.0,2
102,0,IVG,93.0,2
103,2+,NATI VIVI,33.0,2
103,2+,IVG,10.0,2
103,1,NATI VIVI,25.0,2
103,1,IVG,15.0,2
103,0,NATI VIVI,47.0,2
103,0,IVG,80.0,2
104,2+,NATI VIVI,66.0,2
104,2+,IVG,17.0,2
104,1,NATI VIVI,48.0,2
104,1,IVG,21.0,2
104,0,NATI VIVI,86.0,2
104,0,IVG,162.0,2
105,2+,NATI VIVI,82.0,2
105,2+,IVG,2.0,2
105,1,NATI VIVI,35.0,2
105,1,IVG,14.0,2
105,0,NATI VIVI,46.0,2
105,0,IVG,147.0,2
106,2+,NATI VIVI,119.0,2
106,2+,IVG,20.0,2
106,1,NATI VIVI,63.0,2
106,1,IVG,48.0,2
106,0,NATI VIVI,115.0,2
106,0,IVG,229.0,2
107,2+,NATI VIVI,113.0,2
107,2+,IVG,14.0,2
107,1,NATI VIVI,75.0,2
107,1,IVG,50.0,2
107,0,NATI VIVI,81.0,2
107,0,IVG,205.0,2
108,2+,NATI VIVI,95.0,2
108,2+,IVG,14.0,2
108,1,NATI VIVI,52.0,2
108,1,IVG,39.0,2
108,0,NATI VIVI,98.0,2
108,0,IVG,192.0,2
109,2+,NATI VIVI,142.0,2
109,2+,IVG,16.0,2
109,1,NATI VIVI,97.0,2
109,1,IVG,67.0,2
109,0,NATI VIVI,168.0,2
109,0,IVG,324.0,2
110,2+,NATI VIVI,59.0,2
110,2+,IVG,9.0,2
110,1,NATI VIVI,30.0,2
110,1,IVG,28.0,2
110,0,NATI VIVI,45.0,2
110,0,IVG,97.0,2
112,2+,NATI VIVI,165.0,2
112,2+,IVG,25.0,2
112,1,NATI VIVI,106.0,2
112,1,IVG,92.0,2
112,0,NATI VIVI,191.0,2
112,0,IVG,345.0,2
113,2+,NATI VIVI,121.0,2
113,2+,IVG,18.0,2
113,1,NATI VIVI,95.0,2
113,1,IVG,61.0,2
113,0,NATI VIVI,149.0,2
113,0,IVG,286.0,2
114,2+,NATI VIVI,23.0,2
114,2+,IVG,2.0,2
114,1,NATI VIVI,26.0,2
114,1,IVG,13.0,2
114,0,NATI VIVI,34.0,2
114,0,IVG,68.0,2
115,2+,NATI VIVI,87.0,2
115,2+,IVG,15.0,2
115,1,NATI VIVI,50.0,2
115,1,IVG,28.0,2
115,0,NATI VIVI,73.0,2
115,0,IVG,167.0,2
116,2+,NATI VIVI,77.0,2
116,2+,IVG,17.0,2
116,1,NATI VIVI,38.0,2
116,1,IVG,37.0,2
116,0,NATI VIVI,66.0,2
116,0,IVG,127.0,2
117,2+,NATI VIVI,56.0,2
117,2+,IVG,13.0,2
117,1,NATI VIVI,33.0,2
117,1,IVG,18.0,2
117,0,NATI VIVI,47.0,2
117,0,IVG,105.0,2
118,2+,NATI VIVI,63.0,2
118,2+,IVG,10.0,2
118,1,NATI VIVI,28.0,2
118,1,IVG,32.0,2
118,0,NATI VIVI,58.0,2
118,0,IVG,107.0,2
119,2+,NATI VIVI,11.0,2
119,2+,IVG,1.0,2
119,1,NATI VIVI,12.0,2
119,1,IVG,7.0,2
119,0,NATI VIVI,22.0,2
119,0,IVG,37.0,2
120,2+,NATI VIVI,57.0,2
120,2+,IVG,7.0,2
120,1,NATI VIVI,23.0,2
120,1,IVG,15.0,2
120,0,NATI VIVI,44.0,2
120,0,IVG,102.0,2
121,2+,NATI VIVI,41.0,2
121,2+,IVG,5.0,2
121,1,NATI VIVI,30.0,2
121,1,IVG,26.0,2
121,0,NATI VIVI,31.0,2
121,0,IVG,71.0,2
122,2+,NATI VIVI,40.0,2
122,2+,IVG,6.0,2
122,1,NATI VIVI,36.0,2
122,1,IVG,27.0,2
122,0,NATI VIVI,35.0,2
122,0,IVG,78.0,2
901,2+,NATI VIVI,79.0,2
901,2+,IVG,20.0,2
901,1,NATI VIVI,76.0,2
901,1,IVG,50.0,2
901,0,NATI VIVI,168.0,2
901,0,IVG,253.0,2
912,2+,NATI VIVI,239.0,2
912,2+,IVG,46.0,2
912,1,NATI VIVI,192.0,2
912,1,IVG,168.0,2
912,0,NATI VIVI,298.0,2
912,0,IVG,515.0,2
501,2+,NATI VIVI,79.0,3
501,2+,IVG,10.0,3
501,1,NATI VIVI,48.0,3
501,1,IVG,38.0,3
501,0,NATI VIVI,70.0,3
501,0,IVG,149.0,3
502,2+,NATI VIVI,319.0,3
502,2+,IVG,45.0,3
502,1,NATI VIVI,190.0,3
502,1,IVG,118.0,3
502,0,NATI VIVI,324.0,3
502,0,IVG,670.0,3
503,2+,NATI VIVI,261.0,3
503,2+,IVG,48.0,3
503,1,NATI VIVI,210.0,3
503,1,IVG,144.0,3
503,0,NATI VIVI,324.0,3
503,0,IVG,603.0,3
504,2+,NATI VIVI,42.0,3
504,2+,IVG,5.0,3
504,1,NATI VIVI,23.0,3
504,1,IVG,21.0,3
504,0,NATI VIVI,58.0,3
504,0,IVG,97.0,3
505,2+,NATI VIVI,81.0,3
505,2+,IVG,16.0,3
505,1,NATI VIVI,71.0,3
505,1,IVG,31.0,3
505,0,NATI VIVI,68.0,3
505,0,IVG,173.0,3
506,2+,NATI VIVI,188.0,3
506,2+,IVG,26.0,3
506,1,NATI VIVI,130.0,3
506,1,IVG,79.0,3
506,0,NATI VIVI,206.0,3
506,0,IVG,419.0,3
507,2+,NATI VIVI,118.0,3
507,2+,IVG,27.0,3
507,1,NATI VIVI,72.0,3
507,1,IVG,56.0,3
507,0,NATI VIVI,122.0,3
507,0,IVG,229.0,3
508,2+,NATI VIVI,150.0,3
508,2+,IVG,25.0,3
508,1,NATI VIVI,99.0,3
508,1,IVG,73.0,3
508,0,NATI VIVI,158.0,3
508,0,IVG,309.0,3
509,2+,NATI VIVI,171.0,3
509,2+,IVG,22.0,3
509,1,NATI VIVI,87.0,3
509,1,IVG,60.0,3
509,0,NATI VIVI,152.0,3
509,0,IVG,328.0,3
901,2+,NATI VIVI,112.0,3
901,2+,IVG,29.0,3
901,1,NATI VIVI,103.0,3
901,1,IVG,64.0,3
901,0,NATI VIVI,109.0,3
901,0,IVG,231.0,3
912,2+,NATI VIVI,196.0,3
912,2+,IVG,30.0,3
912,1,NATI VIVI,148.0,3
912,1,IVG,132.0,3
912,0,NATI VIVI,263.0,3
912,0,IVG,445.0,3
501,2+,NATI VIVI,73.0,4
501,2+,IVG,15.0,4
501,1,NATI VIVI,45.0,4
501,1,IVG,30.0,4
501,0,NATI VIVI,85.0,4
501,0,IVG,158.0,4
502,2+,NATI VIVI,301.0,4
502,2+,IVG,47.0,4
502,1,NATI VIVI,195.0,4
502,1,IVG,123.0,4
502,0,NATI VIVI,324.0,4
502,0,IVG,650.0,4
503,2+,NATI VIVI,264.0,4
503,2+,IVG,41.0,4
503,1,NATI VIVI,200.0,4
503,1,IVG,128.0,4
503,0,NATI VIVI,354.0,4
503,0,IVG,649.0,4
504,2+,NATI VIVI,49.0,4
504,2+,IVG,7.0,4
504,1,NATI VIVI,21.0,4
504,1,IVG,17.0,4
504,0,NATI VIVI,38.0,4
504,0,IVG,84.0,4
505,2+,NATI VIVI,89.0,4
505,2+,IVG,13.0,4
505,1,NATI VIVI,63.0,4
505,1,IVG,33.0,4
505,0,NATI VIVI,96.0,4
505,0,IVG,202.0,4
506,2+,NATI VIVI,204.0,4
506,2+,IVG,26.0,4
506,1,NATI VIVI,129.0,4
506,1,IVG,101.0,4
506,0,NATI VIVI,219.0,4
506,0,IVG,425.0,4
507,2+,NATI VIVI,82.0,4
507,2+,IVG,15.0,4
507,1,NATI VIVI,51.0,4
507,1,IVG,45.0,4
507,0,NATI VIVI,100.0,4
507,0,IVG,173.0,4
508,2+,NATI VIVI,149.0,4
508,2+,IVG,15.0,4
508,1,NATI VIVI,107.0,4
508,1,IVG,56.0,4
508,0,NATI VIVI,161.0,4
508,0,IVG,346.0,4
509,2+,NATI VIVI,157.0,4
509,2+,IVG,21.0,4
509,1,NATI VIVI,101.0,4
509,1,IVG,74.0,4
509,0,NATI VIVI,147.0,4
509,0,IVG,310.0,4
901,2+,NATI VIVI,94.0,4
901,2+,IVG,23.0,4
901,1,NATI VIVI,62.0,4
901,1,IVG,49.0,4
901,0,NATI VIVI,108.0,4
901,0,IVG,192.0,4
912,2+,NATI VIVI,170.0,4
912,2+,IVG,48.0,4
912,1,NATI VIVI,129.0,4
912,1,IVG,106.0,4
912,0,NATI VIVI,252.0,4
912,0,IVG,397.0,4
501,2+,NATI VIVI,57.0,5
501,2+,IVG,9.0,5
501,1,NATI VIVI,48.0,5
501,1,IVG,38.0,5
501,0,NATI VIVI,72.0,5
501,0,IVG,130.0,5
502,2+,NATI VIVI,296.0,5
502,2+,IVG,36.0,5
502,1,NATI VIVI,164.0,5
502,1,IVG,133.0,5
502,0,NATI VIVI,287.0,5
502,0,IVG,578.0,5
503,2+,NATI VIVI,266.0,5
503,2+,IVG,48.0,5
503,1,NATI VIVI,181.0,5
503,1,IVG,122.0,5
503,0,NATI VIVI,289.0,5
503,0,IVG,566.0,5
504,2+,NATI VIVI,57.0,5
504,2+,IVG,5.0,5
504,1,NATI VIVI,22.0,5
504,1,IVG,20.0,5
504,0,NATI VIVI,42.0,5
504,0,IVG,96.0,5
505,2+,NATI VIVI,71.0,5
505,2+,IVG,15.0,5
505,1,NATI VIVI,59.0,5
505,1,IVG,28.0,5
505,0,NATI VIVI,56.0,5
505,0,IVG,143.0,5
506,2+,NATI VIVI,171.0,5
506,2+,IVG,30.0,5
506,1,NATI VIVI,119.0,5
506,1,IVG,80.0,5
506,0,NATI VIVI,202.0,5
506,0,IVG,382.0,5
507,2+,NATI VIVI,95.0,5
507,2+,IVG,21.0,5
507,1,NATI VIVI,60.0,5
507,1,IVG,30.0,5
507,0,NATI VIVI,115.0,5
507,0,IVG,219.0,5
508,2+,NATI VIVI,143.0,5
508,2+,IVG,22.0,5
