nome_azienda,categoria,valori,anno,nome
101,DIVORZIATA,2,2015,BELLUNO
101,CONIUGATA,29,2015,BELLUNO
101,VEDOVA,1,2015,BELLUNO
101,NUBILE,56,2015,BELLUNO
101,SEPARATA,8,2015,BELLUNO
102,DIVORZIATA,4,2015,FELTRE
102,CONIUGATA,41,2015,FELTRE
102,NUBILE,68,2015,FELTRE
102,SEPARATA,7,2015,FELTRE
103,DIVORZIATA,2,2015,BASSANO DEL GRAPPA
103,CONIUGATA,50,2015,BASSANO DEL GRAPPA
103,SEPARATA,4,2015,BASSANO DEL GRAPPA
103,NUBILE,72,2015,BASSANO DEL GRAPPA
104,CONIUGATA,68,2015,THIENE
104,DIVORZIATA,5,2015,THIENE
104,VEDOVA,2,2015,THIENE
104,NUBILE,98,2015,THIENE
104,SEPARATA,10,2015,THIENE
105,CONIUGATA,75,2015,ARZIGNANO
105,DIVORZIATA,4,2015,ARZIGNANO
105,NUBILE,62,2015,ARZIGNANO
105,SEPARATA,10,2015,ARZIGNANO
106,CONIUGATA,123,2015,VICENZA
106,DIVORZIATA,5,2015,VICENZA
106,VEDOVA,1,2015,VICENZA
106,SEPARATA,10,2015,VICENZA
106,NUBILE,138,2015,VICENZA
107,CONIUGATA,137,2015,PIEVE DI SOLIGO
107,DIVORZIATA,4,2015,PIEVE DI SOLIGO
107,VEDOVA,1,2015,PIEVE DI SOLIGO
107,NUBILE,157,2015,PIEVE DI SOLIGO
107,SEPARATA,8,2015,PIEVE DI SOLIGO
108,CONIUGATA,161,2015,ASOLO
108,DIVORZIATA,1,2015,ASOLO
108,NUBILE,131,2015,ASOLO
108,SEPARATA,3,2015,ASOLO
109,DIVORZIATA,8,2015,TREVISO
109,CONIUGATA,152,2015,TREVISO
109,VEDOVA,2,2015,TREVISO
109,NUBILE,183,2015,TREVISO
109,SEPARATA,13,2015,TREVISO
110,DIVORZIATA,7,2015,S. DONA' DI PIAVE
110,CONIUGATA,70,2015,S. DONA' DI PIAVE
110,NUBILE,62,2015,S. DONA' DI PIAVE
110,SEPARATA,5,2015,S. DONA' DI PIAVE
112,DIVORZIATA,13,2015,VENEZIANA
112,CONIUGATA,205,2015,VENEZIANA
112,VEDOVA,2,2015,VENEZIANA
112,NUBILE,260,2015,VENEZIANA
112,SEPARATA,16,2015,VENEZIANA
113,CONIUGATA,154,2015,MIRANO
113,DIVORZIATA,4,2015,MIRANO
113,NUBILE,167,2015,MIRANO
113,SEPARATA,16,2015,MIRANO
114,CONIUGATA,24,2015,CHIOGGIA
114,DIVORZIATA,2,2015,CHIOGGIA
114,NUBILE,29,2015,CHIOGGIA
114,SEPARATA,4,2015,CHIOGGIA
115,CONIUGATA,77,2015,CITTADELLA
115,DIVORZIATA,3,2015,CITTADELLA
115,NUBILE,91,2015,CITTADELLA
115,SEPARATA,7,2015,CITTADELLA
116,CONIUGATA,57,2015,PADOVA
116,DIVORZIATA,4,2015,PADOVA
116,VEDOVA,2,2015,PADOVA
116,NUBILE,100,2015,PADOVA
116,SEPARATA,6,2015,PADOVA
117,DIVORZIATA,3,2015,ESTE
117,CONIUGATA,48,2015,ESTE
117,SEPARATA,10,2015,ESTE
117,NUBILE,73,2015,ESTE
118,DIVORZIATA,3,2015,ROVIGO
118,CONIUGATA,87,2015,ROVIGO
118,NUBILE,85,2015,ROVIGO
118,SEPARATA,10,2015,ROVIGO
119,CONIUGATA,12,2015,ADRIA
119,NUBILE,19,2015,ADRIA
119,SEPARATA,1,2015,ADRIA
120,CONIUGATA,70,2015,VERONA
120,DIVORZIATA,4,2015,VERONA
120,VEDOVA,3,2015,VERONA
120,SEPARATA,6,2015,VERONA
120,NUBILE,58,2015,VERONA
121,CONIUGATA,53,2015,LEGNAGO
121,DIVORZIATA,3,2015,LEGNAGO
121,VEDOVA,1,2015,LEGNAGO
121,NUBILE,42,2015,LEGNAGO
121,SEPARATA,5,2015,LEGNAGO
122,CONIUGATA,25,2015,BUSSOLENGO
122,NUBILE,23,2015,BUSSOLENGO
122,SEPARATA,4,2015,BUSSOLENGO
901,DIVORZIATA,8,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,CONIUGATA,194,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,VEDOVA,2,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,SEPARATA,7,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
901,NUBILE,138,2015,AZIENDA OSPEDALE - UNIVERSITÀ PADOVA
912,CONIUGATA,289,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,DIVORZIATA,24,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,SEPARATA,10,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
912,NUBILE,408,2015,A.O. INTEGRATA CON UNIVERSITÀ - VERONA
101,CONIUGATA,29,2016,BELLUNO
101,DIVORZIATA,5,2016,BELLUNO
101,VEDOVA,1,2016,BELLUNO
101,SEPARATA,5,2016,BELLUNO
101,NUBILE,38,2016,BELLUNO
102,DIVORZIATA,7,2016,FELTRE
102,CONIUGATA,41,2016,FELTRE
102,NUBILE,66,2016,FELTRE
102,SEPARATA,7,2016,FELTRE
103,CONIUGATA,34,2016,BASSANO DEL GRAPPA
103,DIVORZIATA,1,2016,BASSANO DEL GRAPPA
103,NUBILE,69,2016,BASSANO DEL GRAPPA
103,SEPARATA,1,2016,BASSANO DEL GRAPPA
104,CONIUGATA,83,2016,THIENE
104,DIVORZIATA,4,2016,THIENE
104,VEDOVA,1,2016,THIENE
104,SEPARATA,4,2016,THIENE
104,NUBILE,108,2016,THIENE
105,CONIUGATA,80,2016,ARZIGNANO
105,DIVORZIATA,5,2016,ARZIGNANO
105,VEDOVA,2,2016,ARZIGNANO
105,NUBILE,61,2016,ARZIGNANO
105,SEPARATA,15,2016,ARZIGNANO
106,DIVORZIATA,6,2016,VICENZA
106,CONIUGATA,129,2016,VICENZA
106,VEDOVA,4,2016,VICENZA
106,NUBILE,154,2016,VICENZA
106,SEPARATA,4,2016,VICENZA
107,CONIUGATA,112,2016,PIEVE DI SOLIGO
107,DIVORZIATA,6,2016,PIEVE DI SOLIGO
107,VEDOVA,1,2016,PIEVE DI SOLIGO
107,SEPARATA,10,2016,PIEVE DI SOLIGO
107,NUBILE,140,2016,PIEVE DI SOLIGO
108,DIVORZIATA,3,2016,ASOLO
108,CONIUGATA,104,2016,ASOLO
108,SEPARATA,4,2016,ASOLO
108,NUBILE,134,2016,ASOLO
109,DIVORZIATA,10,2016,TREVISO
109,CONIUGATA,163,2016,TREVISO
109,NUBILE,220,2016,TREVISO
109,SEPARATA,14,2016,TREVISO
110,DIVORZIATA,1,2016,S. DONA' DI PIAVE
110,CONIUGATA,58,2016,S. DONA' DI PIAVE
110,SEPARATA,4,2016,S. DONA' DI PIAVE
110,NUBILE,71,2016,S. DONA' DI PIAVE
112,DIVORZIATA,5,2016,VENEZIANA
112,CONIUGATA,193,2016,VENEZIANA
112,SEPARATA,12,2016,VENEZIANA
112,NUBILE,252,2016,VENEZIANA
113,DIVORZIATA,11,2016,MIRANO
113,CONIUGATA,141,2016,MIRANO
113,NUBILE,199,2016,MIRANO
113,SEPARATA,14,2016,MIRANO
114,DIVORZIATA,2,2016,CHIOGGIA
114,CONIUGATA,30,2016,CHIOGGIA
114,VEDOVA,1,2016,CHIOGGIA
114,NUBILE,47,2016,CHIOGGIA
114,SEPARATA,3,2016,CHIOGGIA
