nome_azienda,categoria,valori,anno
101,DIVORZIATA,2.0,1
101,CONIUGATA,29.0,1
101,VEDOVA,1.0,1
101,NUBILE,56.0,1
101,SEPARATA,8.0,1
102,DIVORZIATA,4.0,1
102,CONIUGATA,41.0,1
102,NUBILE,68.0,1
102,SEPARATA,7.0,1
103,DIVORZIATA,2.0,1
103,CONIUGATA,50.0,1
103,SEPARATA,4.0,1
103,NUBILE,72.0,1
104,CONIUGATA,68.0,1
104,DIVORZIATA,5.0,1
104,VEDOVA,2.0,1
104,NUBILE,98.0,1
104,SEPARATA,10.0,1
105,CONIUGATA,75.0,1
105,DIVORZIATA,4.0,1
105,NUBILE,62.0,1
105,SEPARATA,10.0,1
106,CONIUGATA,123.0,1
106,DIVORZIATA,5.0,1
106,VEDOVA,1.0,1
106,SEPARATA,10.0,1
106,NUBILE,138.0,1
107,CONIUGATA,137.0,1
107,DIVORZIATA,4.0,1
107,VEDOVA,1.0,1
107,NUBILE,157.0,1
107,SEPARATA,8.0,1
108,CONIUGATA,161.0,1
108,DIVORZIATA,1.0,1
108,NUBILE,131.0,1
108,SEPARATA,3.0,1
109,DIVORZIATA,8.0,1
109,CONIUGATA,152.0,1
109,VEDOVA,2.0,1
109,NUBILE,183.0,1
109,SEPARATA,13.0,1
110,DIVORZIATA,7.0,1
110,CONIUGATA,70.0,1
110,NUBILE,62.0,1
110,SEPARATA,5.0,1
112,DIVORZIATA,13.0,1
112,CONIUGATA,205.0,1
112,VEDOVA,2.0,1
112,NUBILE,260.0,1
112,SEPARATA,16.0,1
113,CONIUGATA,154.0,1
113,DIVORZIATA,4.0,1
113,NUBILE,167.0,1
113,SEPARATA,16.0,1
114,CONIUGATA,24.0,1
114,DIVORZIATA,2.0,1
114,NUBILE,29.0,1
114,SEPARATA,4.0,1
115,CONIUGATA,77.0,1
115,DIVORZIATA,3.0,1
115,NUBILE,91.0,1
115,SEPARATA,7.0,1
116,CONIUGATA,57.0,1
116,DIVORZIATA,4.0,1
116,VEDOVA,2.0,1
116,NUBILE,100.0,1
116,SEPARATA,6.0,1
117,DIVORZIATA,3.0,1
117,CONIUGATA,48.0,1
117,SEPARATA,10.0,1
117,NUBILE,73.0,1
118,DIVORZIATA,3.0,1
118,CONIUGATA,87.0,1
118,NUBILE,85.0,1
118,SEPARATA,10.0,1
119,CONIUGATA,12.0,1
119,NUBILE,19.0,1
119,SEPARATA,1.0,1
120,CONIUGATA,70.0,1
120,DIVORZIATA,4.0,1
120,VEDOVA,3.0,1
120,SEPARATA,6.0,1
120,NUBILE,58.0,1
121,CONIUGATA,53.0,1
121,DIVORZIATA,3.0,1
121,VEDOVA,1.0,1
121,NUBILE,42.0,1
121,SEPARATA,5.0,1
122,CONIUGATA,25.0,1
122,NUBILE,23.0,1
122,SEPARATA,4.0,1
901,DIVORZIATA,8.0,1
901,CONIUGATA,194.0,1
901,VEDOVA,2.0,1
901,SEPARATA,7.0,1
901,NUBILE,138.0,1
912,CONIUGATA,289.0,1
912,DIVORZIATA,24.0,1
912,SEPARATA,10.0,1
912,NUBILE,408.0,1
101,CONIUGATA,29.0,2
101,DIVORZIATA,5.0,2
101,VEDOVA,1.0,2
101,SEPARATA,5.0,2
101,NUBILE,38.0,2
102,DIVORZIATA,7.0,2
102,CONIUGATA,41.0,2
102,NUBILE,66.0,2
102,SEPARATA,7.0,2
103,CONIUGATA,34.0,2
103,DIVORZIATA,1.0,2
103,NUBILE,69.0,2
103,SEPARATA,1.0,2
104,CONIUGATA,83.0,2
104,DIVORZIATA,4.0,2
104,VEDOVA,1.0,2
104,SEPARATA,4.0,2
104,NUBILE,108.0,2
105,CONIUGATA,80.0,2
105,DIVORZIATA,5.0,2
105,VEDOVA,2.0,2
105,NUBILE,61.0,2
105,SEPARATA,15.0,2
106,DIVORZIATA,6.0,2
106,CONIUGATA,129.0,2
106,VEDOVA,4.0,2
106,NUBILE,154.0,2
106,SEPARATA,4.0,2
107,CONIUGATA,112.0,2
107,DIVORZIATA,6.0,2
107,VEDOVA,1.0,2
107,SEPARATA,10.0,2
107,NUBILE,140.0,2
108,DIVORZIATA,3.0,2
108,CONIUGATA,104.0,2
108,SEPARATA,4.0,2
108,NUBILE,134.0,2
109,DIVORZIATA,10.0,2
109,CONIUGATA,163.0,2
109,NUBILE,220.0,2
109,SEPARATA,14.0,2
110,DIVORZIATA,1.0,2
110,CONIUGATA,58.0,2
110,SEPARATA,4.0,2
110,NUBILE,71.0,2
112,DIVORZIATA,5.0,2
112,CONIUGATA,193.0,2
112,SEPARATA,12.0,2
112,NUBILE,252.0,2
113,DIVORZIATA,11.0,2
113,CONIUGATA,141.0,2
113,NUBILE,199.0,2
113,SEPARATA,14.0,2
114,DIVORZIATA,2.0,2
114,CONIUGATA,30.0,2
114,VEDOVA,1.0,2
114,NUBILE,47.0,2
114,SEPARATA,3.0,2
115,DIVORZIATA,10.0,2
115,CONIUGATA,83.0,2
115,VEDOVA,3.0,2
115,NUBILE,109.0,2
115,SEPARATA,5.0,2
116,DIVORZIATA,6.0,2
116,CONIUGATA,80.0,2
116,NUBILE,90.0,2
116,SEPARATA,5.0,2
117,DIVORZIATA,8.0,2
117,CONIUGATA,52.0,2
117,SEPARATA,10.0,2
117,NUBILE,66.0,2
118,DIVORZIATA,3.0,2
118,CONIUGATA,61.0,2
118,NUBILE,77.0,2
118,SEPARATA,8.0,2
119,CONIUGATA,18.0,2
119,VEDOVA,1.0,2
119,NUBILE,23.0,2
119,SEPARATA,3.0,2
120,CONIUGATA,61.0,2
120,DIVORZIATA,5.0,2
120,NUBILE,55.0,2
120,SEPARATA,3.0,2
121,CONIUGATA,39.0,2
121,DIVORZIATA,6.0,2
121,NUBILE,52.0,2
121,SEPARATA,5.0,2
122,CONIUGATA,48.0,2
122,DIVORZIATA,3.0,2
122,NUBILE,52.0,2
122,SEPARATA,8.0,2
901,CONIUGATA,155.0,2
901,DIVORZIATA,1.0,2
901,SEPARATA,5.0,2
901,NUBILE,162.0,2
912,DIVORZIATA,40.0,2
912,CONIUGATA,288.0,2
912,VEDOVA,2.0,2
912,NUBILE,391.0,2
912,SEPARATA,8.0,2
501,CONIUGATA,73.0,3
501,DIVORZIATA,6.0,3
501,NUBILE,110.0,3
501,SEPARATA,8.0,3
502,CONIUGATA,338.0,3
502,DIVORZIATA,14.0,3
502,VEDOVA,3.0,3
502,NUBILE,454.0,3
502,SEPARATA,24.0,3
503,CONIUGATA,302.0,3
503,DIVORZIATA,26.0,3
503,VEDOVA,1.0,3
503,NUBILE,438.0,3
503,SEPARATA,28.0,3
504,CONIUGATA,34.0,3
504,VEDOVA,1.0,3
504,NUBILE,79.0,3
504,SEPARATA,9.0,3
505,CONIUGATA,98.0,3
505,DIVORZIATA,3.0,3
505,VEDOVA,1.0,3
505,NUBILE,108.0,3
505,SEPARATA,10.0,3
506,CONIUGATA,199.0,3
506,DIVORZIATA,9.0,3
506,NUBILE,299.0,3
506,SEPARATA,17.0,3
507,DIVORZIATA,5.0,3
507,CONIUGATA,110.0,3
507,NUBILE,183.0,3
507,SEPARATA,14.0,3
508,DIVORZIATA,10.0,3
508,CONIUGATA,168.0,3
508,VEDOVA,1.0,3
508,SEPARATA,19.0,3
508,NUBILE,209.0,3
509,DIVORZIATA,10.0,3
509,CONIUGATA,176.0,3
509,VEDOVA,1.0,3
509,SEPARATA,17.0,3
509,NUBILE,206.0,3
901,CONIUGATA,162.0,3
901,DIVORZIATA,1.0,3
901,VEDOVA,4.0,3
901,SEPARATA,7.0,3
901,NUBILE,150.0,3
912,CONIUGATA,232.0,3
912,DIVORZIATA,11.0,3
912,VEDOVA,1.0,3
912,NUBILE,344.0,3
912,SEPARATA,19.0,3
501,CONIUGATA,50.0,4
501,DIVORZIATA,10.0,4
501,SEPARATA,8.0,4
501,NUBILE,135.0,4
502,DIVORZIATA,16.0,4
502,CONIUGATA,313.0,4
502,VEDOVA,4.0,4
502,SEPARATA,27.0,4
502,NUBILE,459.0,4
502,UNITA CIVILMENTE,1.0,4
503,CONIUGATA,290.0,4
503,DIVORZIATA,14.0,4
503,VEDOVA,2.0,4
503,SEPARATA,26.0,4
503,NUBILE,486.0,4
504,CONIUGATA,46.0,4
504,VEDOVA,1.0,4
