anno,nome,coniugata,divorziata,gia_in_unione_civile_(per_decesso_del_partner),nubile,separata,unita_civilmente,vedova
2015,A.O. Integrata Con Università - Verona,289.0,24.0,0.0,408.0,10.0,0.0,0.0
2015,Adria,12.0,0.0,0.0,19.0,1.0,0.0,0.0
2015,Arzignano,75.0,4.0,0.0,62.0,10.0,0.0,0.0
2015,Asolo,161.0,1.0,0.0,131.0,3.0,0.0,0.0
2015,Azienda Ospedale - Università Padova,194.0,8.0,0.0,138.0,7.0,0.0,2.0
2015,Bassano Del Grappa,50.0,2.0,0.0,72.0,4.0,0.0,0.0
2015,Belluno,29.0,2.0,0.0,56.0,8.0,0.0,1.0
2015,Bussolengo,25.0,0.0,0.0,23.0,4.0,0.0,0.0
2015,Chioggia,24.0,2.0,0.0,29.0,4.0,0.0,0.0
2015,Cittadella,77.0,3.0,0.0,91.0,7.0,0.0,0.0
2015,Este,48.0,3.0,0.0,73.0,10.0,0.0,0.0
2015,Feltre,41.0,4.0,0.0,68.0,7.0,0.0,0.0
2015,Legnago,53.0,3.0,0.0,42.0,5.0,0.0,1.0
2015,Mirano,154.0,4.0,0.0,167.0,16.0,0.0,0.0
2015,Padova,57.0,4.0,0.0,100.0,6.0,0.0,2.0
2015,Pieve Di Soligo,137.0,4.0,0.0,157.0,8.0,0.0,1.0
2015,Rovigo,87.0,3.0,0.0,85.0,10.0,0.0,0.0
2015,S. Dona' Di Piave,70.0,7.0,0.0,62.0,5.0,0.0,0.0
2015,Thiene,68.0,5.0,0.0,98.0,10.0,0.0,2.0
2015,Treviso,152.0,8.0,0.0,183.0,13.0,0.0,2.0
2015,Veneziana,205.0,13.0,0.0,260.0,16.0,0.0,2.0
2015,Verona,70.0,4.0,0.0,58.0,6.0,0.0,3.0
2015,Vicenza,123.0,5.0,0.0,138.0,10.0,0.0,1.0
2016,A.O. Integrata Con Università - Verona,288.0,40.0,0.0,391.0,8.0,0.0,2.0
2016,Adria,18.0,0.0,0.0,23.0,3.0,0.0,1.0
2016,Arzignano,80.0,5.0,0.0,61.0,15.0,0.0,2.0
2016,Asolo,104.0,3.0,0.0,134.0,4.0,0.0,0.0
2016,Azienda Ospedale - Università Padova,155.0,1.0,0.0,162.0,5.0,0.0,0.0
2016,Bassano Del Grappa,34.0,1.0,0.0,69.0,1.0,0.0,0.0
2016,Belluno,29.0,5.0,0.0,38.0,5.0,0.0,1.0
2016,Bussolengo,48.0,3.0,0.0,52.0,8.0,0.0,0.0
2016,Chioggia,30.0,2.0,0.0,47.0,3.0,0.0,1.0
2016,Cittadella,83.0,10.0,0.0,109.0,5.0,0.0,3.0
2016,Este,52.0,8.0,0.0,66.0,10.0,0.0,0.0
2016,Feltre,41.0,7.0,0.0,66.0,7.0,0.0,0.0
2016,Legnago,39.0,6.0,0.0,52.0,5.0,0.0,0.0
2016,Mirano,141.0,11.0,0.0,199.0,14.0,0.0,0.0
2016,Padova,80.0,6.0,0.0,90.0,5.0,0.0,0.0
2016,Pieve Di Soligo,112.0,6.0,0.0,140.0,10.0,0.0,1.0
2016,Rovigo,61.0,3.0,0.0,77.0,8.0,0.0,0.0
2016,S. Dona' Di Piave,58.0,1.0,0.0,71.0,4.0,0.0,0.0
2016,Thiene,83.0,4.0,0.0,108.0,4.0,0.0,1.0
2016,Treviso,163.0,10.0,0.0,220.0,14.0,0.0,0.0
2016,Veneziana,193.0,5.0,0.0,252.0,12.0,0.0,0.0
2016,Verona,61.0,5.0,0.0,55.0,3.0,0.0,0.0
2016,Vicenza,129.0,6.0,0.0,154.0,4.0,0.0,4.0
2017,A.O. Integrata Con Università - Verona,232.0,11.0,0.0,344.0,19.0,0.0,1.0
2017,Azienda Ospedale - Università Padova,162.0,1.0,0.0,150.0,7.0,0.0,4.0
2017,Azienda Ulss N. 1 Dolomiti,73.0,6.0,0.0,110.0,8.0,0.0,0.0
2017,Azienda Ulss N. 2 Marca Trevigiana,338.0,14.0,0.0,454.0,24.0,0.0,3.0
2017,Azienda Ulss N. 3 Serenissima,302.0,26.0,0.0,438.0,28.0,0.0,1.0
2017,Azienda Ulss N. 4 Veneto Orientale,34.0,0.0,0.0,79.0,9.0,0.0,1.0
2017,Azienda Ulss N. 5 Polesana,98.0,3.0,0.0,108.0,10.0,0.0,1.0
2017,Azienda Ulss N. 6 Euganea,199.0,9.0,0.0,299.0,17.0,0.0,0.0
2017,Azienda Ulss N. 7 Pedemontana,110.0,5.0,0.0,183.0,14.0,0.0,0.0
2017,Azienda Ulss N. 8 Berica,168.0,10.0,0.0,209.0,19.0,0.0,1.0
2017,Azienda Ulss N. 9 Scaligera,176.0,10.0,0.0,206.0,17.0,0.0,1.0
2018,A.O. Integrata Con Università - Verona,198.0,15.0,0.0,326.0,12.0,0.0,0.0
2018,Azienda Ospedale - Università Padova,127.0,3.0,0.0,126.0,6.0,0.0,2.0
2018,Azienda Ulss N. 1 Dolomiti,50.0,10.0,0.0,135.0,8.0,0.0,0.0
2018,Azienda Ulss N. 2 Marca Trevigiana,313.0,16.0,0.0,459.0,27.0,1.0,4.0
2018,Azienda Ulss N. 3 Serenissima,290.0,14.0,0.0,486.0,26.0,0.0,2.0
2018,Azienda Ulss N. 4 Veneto Orientale,46.0,0.0,0.0,57.0,4.0,0.0,1.0
2018,Azienda Ulss N. 5 Polesana,90.0,5.0,0.0,143.0,10.0,0.0,0.0
2018,Azienda Ulss N. 6 Euganea,206.0,11.0,0.0,315.0,20.0,0.0,0.0
2018,Azienda Ulss N. 7 Pedemontana,81.0,2.0,0.0,143.0,7.0,0.0,0.0
2018,Azienda Ulss N. 8 Berica,188.0,8.0,0.0,213.0,8.0,0.0,0.0
2018,Azienda Ulss N. 9 Scaligera,166.0,16.0,0.0,208.0,15.0,0.0,0.0
2019,A.O. Integrata Con Università - Verona,207.0,17.0,0.0,333.0,13.0,0.0,0.0
