nome_azienda,nome,categoria,valori,anno
101,ITALIANE,SERVIZIO OSTETRICO,19.0,1
101,ITALIANE,CONSULTORI FAMILIARI,20.0,1
101,ITALIANE,MEDICO DI FIDUCIA,36.0,1
101,STRANIERE,SERVIZIO OSTETRICO,7.0,1
101,STRANIERE,CONSULTORI FAMILIARI,9.0,1
101,STRANIERE,MEDICO DI FIDUCIA,5.0,1
102,ITALIANE,SERVIZIO OSTETRICO,40.0,1
102,ITALIANE,MEDICO DI FIDUCIA,14.0,1
102,ITALIANE,ALTRA STRUTTURA SANITARIA,4.0,1
102,ITALIANE,CONSULTORI FAMILIARI,33.0,1
102,STRANIERE,SERVIZIO OSTETRICO,8.0,1
102,STRANIERE,MEDICO DI FIDUCIA,3.0,1
102,STRANIERE,CONSULTORI FAMILIARI,18.0,1
103,ITALIANE,MEDICO DI FIDUCIA,16.0,1
103,ITALIANE,SERVIZIO OSTETRICO,6.0,1
103,ITALIANE,CONSULTORI FAMILIARI,48.0,1
103,STRANIERE,MEDICO DI FIDUCIA,7.0,1
103,STRANIERE,SERVIZIO OSTETRICO,2.0,1
103,STRANIERE,CONSULTORI FAMILIARI,48.0,1
103,STRANIERE,ALTRA STRUTTURA SANITARIA,1.0,1
104,ITALIANE,CONSULTORI FAMILIARI,59.0,1
104,ITALIANE,MEDICO DI FIDUCIA,28.0,1
104,ITALIANE,SERVIZIO OSTETRICO,20.0,1
104,STRANIERE,CONSULTORI FAMILIARI,56.0,1
104,STRANIERE,MEDICO DI FIDUCIA,14.0,1
104,STRANIERE,SERVIZIO OSTETRICO,5.0,1
105,ITALIANE,CONSULTORI FAMILIARI,30.0,1
105,ITALIANE,SERVIZIO OSTETRICO,13.0,1
105,ITALIANE,ALTRA STRUTTURA SANITARIA,4.0,1
105,ITALIANE,MEDICO DI FIDUCIA,25.0,1
105,STRANIERE,CONSULTORI FAMILIARI,44.0,1
105,STRANIERE,SERVIZIO OSTETRICO,6.0,1
105,STRANIERE,ALTRA STRUTTURA SANITARIA,3.0,1
105,STRANIERE,MEDICO DI FIDUCIA,27.0,1
106,ITALIANE,MEDICO DI FIDUCIA,56.0,1
106,ITALIANE,ALTRO,1.0,1
106,ITALIANE,SERVIZIO OSTETRICO,22.0,1
106,ITALIANE,CONSULTORI FAMILIARI,64.0,1
106,ITALIANE,ALTRA STRUTTURA SANITARIA,3.0,1
106,STRANIERE,MEDICO DI FIDUCIA,47.0,1
106,STRANIERE,SERVIZIO OSTETRICO,5.0,1
106,STRANIERE,CONSULTORI FAMILIARI,79.0,1
107,ITALIANE,ALTRA STRUTTURA SANITARIA,4.0,1
107,ITALIANE,MEDICO DI FIDUCIA,45.0,1
107,ITALIANE,CONSULTORI FAMILIARI,22.0,1
107,ITALIANE,SERVIZIO OSTETRICO,129.0,1
107,STRANIERE,MEDICO DI FIDUCIA,10.0,1
107,STRANIERE,CONSULTORI FAMILIARI,10.0,1
107,STRANIERE,SERVIZIO OSTETRICO,93.0,1
108,ITALIANE,MEDICO DI FIDUCIA,4.0,1
108,ITALIANE,SERVIZIO OSTETRICO,89.0,1
108,ITALIANE,ALTRA STRUTTURA SANITARIA,1.0,1
108,ITALIANE,CONSULTORI FAMILIARI,79.0,1
108,STRANIERE,MEDICO DI FIDUCIA,3.0,1
108,STRANIERE,SERVIZIO OSTETRICO,40.0,1
108,STRANIERE,ALTRA STRUTTURA SANITARIA,3.0,1
108,STRANIERE,CONSULTORI FAMILIARI,79.0,1
109,ITALIANE,MEDICO DI FIDUCIA,42.0,1
109,ITALIANE,SERVIZIO OSTETRICO,37.0,1
109,ITALIANE,ALTRA STRUTTURA SANITARIA,13.0,1
109,ITALIANE,CONSULTORI FAMILIARI,118.0,1
109,STRANIERE,MEDICO DI FIDUCIA,13.0,1
109,STRANIERE,SERVIZIO OSTETRICO,9.0,1
109,STRANIERE,ALTRA STRUTTURA SANITARIA,3.0,1
