nome_azienda,categoria,valori,anno
101,LAUREA O TITOLI SUPERIORI,12.0,1
101,DIPLOMA DI SCUOLA MEDIA INFERIORE,32.0,1
101,LICENZA ELEMENTARE,1.0,1
101,DIPLOMA DI SCUOLA MEDIA SUPERIORE,51.0,1
102,LAUREA O TITOLI SUPERIORI,17.0,1
102,DIPLOMA DI SCUOLA MEDIA INFERIORE,46.0,1
102,LICENZA ELEMENTARE,1.0,1
102,NESSUNO,2.0,1
102,DIPLOMA DI SCUOLA MEDIA SUPERIORE,54.0,1
103,LAUREA O TITOLI SUPERIORI,6.0,1
103,DIPLOMA DI SCUOLA MEDIA INFERIORE,57.0,1
103,LICENZA ELEMENTARE,4.0,1
103,DIPLOMA DI SCUOLA MEDIA SUPERIORE,61.0,1
104,LAUREA O TITOLI SUPERIORI,20.0,1
104,LICENZA ELEMENTARE,4.0,1
104,DIPLOMA DI SCUOLA MEDIA INFERIORE,69.0,1
104,NESSUNO,3.0,1
104,DIPLOMA DI SCUOLA MEDIA SUPERIORE,87.0,1
105,LAUREA O TITOLI SUPERIORI,13.0,1
105,LICENZA ELEMENTARE,11.0,1
105,DIPLOMA DI SCUOLA MEDIA INFERIORE,51.0,1
105,NESSUNO,3.0,1
105,DIPLOMA DI SCUOLA MEDIA SUPERIORE,74.0,1
106,LAUREA O TITOLI SUPERIORI,33.0,1
106,DIPLOMA DI SCUOLA MEDIA INFERIORE,102.0,1
106,LICENZA ELEMENTARE,15.0,1
106,DIPLOMA DI SCUOLA MEDIA SUPERIORE,127.0,1
107,LAUREA O TITOLI SUPERIORI,22.0,1
107,LICENZA ELEMENTARE,7.0,1
107,DIPLOMA DI SCUOLA MEDIA INFERIORE,123.0,1
107,DIPLOMA DI SCUOLA MEDIA SUPERIORE,162.0,1
108,ANALFABETA,1.0,1
108,LAUREA O TITOLI SUPERIORI,33.0,1
108,DIPLOMA DI SCUOLA MEDIA INFERIORE,130.0,1
108,DIPLOMA DI SCUOLA MEDIA SUPERIORE,135.0,1
109,LAUREA O TITOLI SUPERIORI,38.0,1
109,DIPLOMA DI SCUOLA MEDIA INFERIORE,155.0,1
109,LICENZA ELEMENTARE,3.0,1
109,SA LEGGERE E SCRIVERE,1.0,1
109,NESSUNO,1.0,1
109,DIPLOMA DI SCUOLA MEDIA SUPERIORE,160.0,1
110,LAUREA O TITOLI SUPERIORI,13.0,1
110,LICENZA ELEMENTARE,8.0,1
110,DIPLOMA DI SCUOLA MEDIA INFERIORE,53.0,1
110,DIPLOMA DI SCUOLA MEDIA SUPERIORE,70.0,1
112,LAUREA O TITOLI SUPERIORI,65.0,1
112,SA LEGGERE E SCRIVERE,4.0,1
112,LICENZA ELEMENTARE,31.0,1
112,DIPLOMA DI SCUOLA MEDIA INFERIORE,166.0,1
112,NESSUNO,4.0,1
112,DIPLOMA DI SCUOLA MEDIA SUPERIORE,226.0,1
113,LAUREA O TITOLI SUPERIORI,37.0,1
113,ANALFABETA,2.0,1
113,LICENZA ELEMENTARE,13.0,1
113,DIPLOMA DI SCUOLA MEDIA INFERIORE,100.0,1
113,NESSUNO,2.0,1
113,DIPLOMA DI SCUOLA MEDIA SUPERIORE,188.0,1
114,LAUREA O TITOLI SUPERIORI,10.0,1
114,LICENZA ELEMENTARE,1.0,1
114,DIPLOMA DI SCUOLA MEDIA INFERIORE,25.0,1
114,DIPLOMA DI SCUOLA MEDIA SUPERIORE,23.0,1
115,LAUREA O TITOLI SUPERIORI,30.0,1
115,LICENZA ELEMENTARE,2.0,1
115,DIPLOMA DI SCUOLA MEDIA INFERIORE,54.0,1
115,DIPLOMA DI SCUOLA MEDIA SUPERIORE,92.0,1
116,LAUREA O TITOLI SUPERIORI,20.0,1
116,DIPLOMA DI SCUOLA MEDIA INFERIORE,66.0,1
116,LICENZA ELEMENTARE,7.0,1
116,DIPLOMA DI SCUOLA MEDIA SUPERIORE,76.0,1
117,LAUREA O TITOLI SUPERIORI,18.0,1
117,DIPLOMA DI SCUOLA MEDIA INFERIORE,54.0,1
117,LICENZA ELEMENTARE,2.0,1
117,NESSUNO,1.0,1
117,DIPLOMA DI SCUOLA MEDIA SUPERIORE,59.0,1
118,ANALFABETA,1.0,1
118,LAUREA O TITOLI SUPERIORI,12.0,1
118,LICENZA ELEMENTARE,20.0,1
118,SA LEGGERE E SCRIVERE,8.0,1
118,DIPLOMA DI SCUOLA MEDIA INFERIORE,63.0,1
118,DIPLOMA DI SCUOLA MEDIA SUPERIORE,81.0,1
119,LAUREA O TITOLI SUPERIORI,5.0,1
119,LICENZA ELEMENTARE,4.0,1
119,DIPLOMA DI SCUOLA MEDIA INFERIORE,9.0,1
119,DIPLOMA DI SCUOLA MEDIA SUPERIORE,14.0,1
120,LAUREA O TITOLI SUPERIORI,15.0,1
120,DIPLOMA DI SCUOLA MEDIA INFERIORE,47.0,1
120,LICENZA ELEMENTARE,12.0,1
120,DIPLOMA DI SCUOLA MEDIA SUPERIORE,67.0,1
121,LAUREA O TITOLI SUPERIORI,14.0,1
121,ANALFABETA,2.0,1
121,LICENZA ELEMENTARE,4.0,1
121,DIPLOMA DI SCUOLA MEDIA INFERIORE,32.0,1
121,NESSUNO,2.0,1
121,DIPLOMA DI SCUOLA MEDIA SUPERIORE,50.0,1
122,LAUREA O TITOLI SUPERIORI,6.0,1
122,LICENZA ELEMENTARE,1.0,1
122,DIPLOMA DI SCUOLA MEDIA INFERIORE,28.0,1
122,DIPLOMA DI SCUOLA MEDIA SUPERIORE,17.0,1
901,LAUREA O TITOLI SUPERIORI,51.0,1
901,DIPLOMA DI SCUOLA MEDIA INFERIORE,113.0,1
901,LICENZA ELEMENTARE,35.0,1
901,DIPLOMA UNIVERSITARIO O LAUREA BREVE,1.0,1
901,NESSUNO,1.0,1
901,DIPLOMA DI SCUOLA MEDIA SUPERIORE,148.0,1
912,LAUREA O TITOLI SUPERIORI,85.0,1
912,LICENZA ELEMENTARE,14.0,1
912,DIPLOMA DI SCUOLA MEDIA INFERIORE,228.0,1
912,DIPLOMA UNIVERSITARIO O LAUREA BREVE,3.0,1
912,DIPLOMA DI SCUOLA MEDIA SUPERIORE,401.0,1
101,LAUREA O TITOLI SUPERIORI,7.0,2
101,DIPLOMA DI SCUOLA MEDIA INFERIORE,29.0,2
101,DIPLOMA UNIVERSITARIO O LAUREA BREVE,4.0,2
101,DIPLOMA DI SCUOLA MEDIA SUPERIORE,38.0,2
102,LAUREA O TITOLI SUPERIORI,18.0,2
102,ANALFABETA,2.0,2
102,SA LEGGERE E SCRIVERE,1.0,2
102,DIPLOMA DI SCUOLA MEDIA INFERIORE,31.0,2
102,LICENZA ELEMENTARE,1.0,2
102,DIPLOMA DI SCUOLA MEDIA SUPERIORE,68.0,2
103,LAUREA O TITOLI SUPERIORI,17.0,2
103,ANALFABETA,1.0,2
103,DIPLOMA DI SCUOLA MEDIA INFERIORE,32.0,2
103,LICENZA ELEMENTARE,1.0,2
103,DIPLOMA UNIVERSITARIO O LAUREA BREVE,1.0,2
103,DIPLOMA DI SCUOLA MEDIA SUPERIORE,53.0,2
104,LAUREA O TITOLI SUPERIORI,24.0,2
104,SA LEGGERE E SCRIVERE,1.0,2
104,LICENZA ELEMENTARE,8.0,2
104,DIPLOMA DI SCUOLA MEDIA INFERIORE,48.0,2
104,DIPLOMA UNIVERSITARIO O LAUREA BREVE,7.0,2
104,DIPLOMA DI SCUOLA MEDIA SUPERIORE,112.0,2
105,ANALFABETA,1.0,2
105,LAUREA O TITOLI SUPERIORI,13.0,2
105,LICENZA ELEMENTARE,6.0,2
105,DIPLOMA DI SCUOLA MEDIA INFERIORE,55.0,2
105,DIPLOMA UNIVERSITARIO O LAUREA BREVE,3.0,2
105,DIPLOMA DI SCUOLA MEDIA SUPERIORE,85.0,2
106,LAUREA O TITOLI SUPERIORI,31.0,2
106,ANALFABETA,4.0,2
106,DIPLOMA DI SCUOLA MEDIA INFERIORE,102.0,2
106,SA LEGGERE E SCRIVERE,1.0,2
106,LICENZA ELEMENTARE,14.0,2
106,DIPLOMA UNIVERSITARIO O LAUREA BREVE,4.0,2
106,DIPLOMA DI SCUOLA MEDIA SUPERIORE,141.0,2
107,LAUREA O TITOLI SUPERIORI,24.0,2
107,LICENZA ELEMENTARE,1.0,2
107,DIPLOMA DI SCUOLA MEDIA INFERIORE,94.0,2
107,DIPLOMA UNIVERSITARIO O LAUREA BREVE,17.0,2
107,DIPLOMA DI SCUOLA MEDIA SUPERIORE,133.0,2
108,ANALFABETA,1.0,2
108,LAUREA O TITOLI SUPERIORI,18.0,2
108,DIPLOMA DI SCUOLA MEDIA INFERIORE,86.0,2
108,LICENZA ELEMENTARE,6.0,2
108,SA LEGGERE E SCRIVERE,1.0,2
108,DIPLOMA UNIVERSITARIO O LAUREA BREVE,21.0,2
108,DIPLOMA DI SCUOLA MEDIA SUPERIORE,112.0,2
109,ANALFABETA,2.0,2
109,LAUREA O TITOLI SUPERIORI,33.0,2
109,DIPLOMA DI SCUOLA MEDIA INFERIORE,160.0,2
109,SA LEGGERE E SCRIVERE,2.0,2
109,LICENZA ELEMENTARE,14.0,2
109,DIPLOMA UNIVERSITARIO O LAUREA BREVE,6.0,2
109,DIPLOMA DI SCUOLA MEDIA SUPERIORE,190.0,2
110,LAUREA O TITOLI SUPERIORI,12.0,2
110,ANALFABETA,2.0,2
110,LICENZA ELEMENTARE,2.0,2
110,DIPLOMA DI SCUOLA MEDIA INFERIORE,54.0,2
110,DIPLOMA UNIVERSITARIO O LAUREA BREVE,5.0,2
110,DIPLOMA DI SCUOLA MEDIA SUPERIORE,59.0,2
