anno,nome,analfabeta,diploma_di_scuola_media_inferiore,diploma_di_scuola_media_superiore,diploma_universitario_o_laurea_breve,laurea_o_titoli_superiori,licenza_elementare,nessuno,sa_leggere_e_scrivere
2015,A.O. Integrata Con Università - Verona,0.0,228.0,401.0,3.0,85.0,14.0,0.0,0.0
2015,Adria,0.0,9.0,14.0,0.0,5.0,4.0,0.0,0.0
2015,Arzignano,0.0,51.0,74.0,0.0,13.0,11.0,3.0,0.0
2015,Asolo,1.0,130.0,135.0,0.0,33.0,0.0,0.0,0.0
2015,Azienda Ospedale - Università Padova,0.0,113.0,148.0,1.0,51.0,35.0,1.0,0.0
2015,Bassano Del Grappa,0.0,57.0,61.0,0.0,6.0,4.0,0.0,0.0
2015,Belluno,0.0,32.0,51.0,0.0,12.0,1.0,0.0,0.0
2015,Bussolengo,0.0,28.0,17.0,0.0,6.0,1.0,0.0,0.0
2015,Chioggia,0.0,25.0,23.0,0.0,10.0,1.0,0.0,0.0
2015,Cittadella,0.0,54.0,92.0,0.0,30.0,2.0,0.0,0.0
2015,Este,0.0,54.0,59.0,0.0,18.0,2.0,1.0,0.0
2015,Feltre,0.0,46.0,54.0,0.0,17.0,1.0,2.0,0.0
2015,Legnago,2.0,32.0,50.0,0.0,14.0,4.0,2.0,0.0
2015,Mirano,2.0,100.0,188.0,0.0,37.0,13.0,2.0,0.0
2015,Padova,0.0,66.0,76.0,0.0,20.0,7.0,0.0,0.0
2015,Pieve Di Soligo,0.0,123.0,162.0,0.0,22.0,7.0,0.0,0.0
2015,Rovigo,1.0,63.0,81.0,0.0,12.0,20.0,0.0,8.0
2015,S. Dona' Di Piave,0.0,53.0,70.0,0.0,13.0,8.0,0.0,0.0
2015,Thiene,0.0,69.0,87.0,0.0,20.0,4.0,3.0,0.0
2015,Treviso,0.0,155.0,160.0,0.0,38.0,3.0,1.0,1.0
2015,Veneziana,0.0,166.0,226.0,0.0,65.0,31.0,4.0,4.0
2015,Verona,0.0,47.0,67.0,0.0,15.0,12.0,0.0,0.0
2015,Vicenza,0.0,102.0,127.0,0.0,33.0,15.0,0.0,0.0
2016,A.O. Integrata Con Università - Verona,2.0,245.0,364.0,12.0,86.0,20.0,0.0,0.0
2016,Adria,0.0,16.0,22.0,1.0,5.0,1.0,0.0,0.0
2016,Arzignano,1.0,55.0,85.0,3.0,13.0,6.0,0.0,0.0
2016,Asolo,1.0,86.0,112.0,21.0,18.0,6.0,0.0,1.0
2016,Azienda Ospedale - Università Padova,13.0,116.0,117.0,1.0,36.0,40.0,0.0,0.0
2016,Bassano Del Grappa,1.0,32.0,53.0,1.0,17.0,1.0,0.0,0.0
2016,Belluno,0.0,29.0,38.0,4.0,7.0,0.0,0.0,0.0
2016,Bussolengo,0.0,30.0,68.0,3.0,7.0,3.0,0.0,0.0
2016,Chioggia,0.0,33.0,38.0,0.0,5.0,6.0,0.0,1.0
2016,Cittadella,0.0,71.0,108.0,7.0,21.0,1.0,0.0,2.0
2016,Este,1.0,57.0,48.0,2.0,13.0,3.0,0.0,12.0
2016,Feltre,2.0,31.0,68.0,0.0,18.0,1.0,0.0,1.0
2016,Legnago,2.0,35.0,49.0,1.0,10.0,5.0,0.0,0.0
2016,Mirano,2.0,115.0,167.0,9.0,58.0,13.0,0.0,1.0
2016,Padova,1.0,67.0,90.0,6.0,10.0,7.0,0.0,0.0
2016,Pieve Di Soligo,0.0,94.0,133.0,17.0,24.0,1.0,0.0,0.0
2016,Rovigo,2.0,43.0,73.0,0.0,14.0,17.0,0.0,0.0
2016,S. Dona' Di Piave,2.0,54.0,59.0,5.0,12.0,2.0,0.0,0.0
2016,Thiene,0.0,48.0,112.0,7.0,24.0,8.0,0.0,1.0
2016,Treviso,2.0,160.0,190.0,6.0,33.0,14.0,0.0,2.0
2016,Veneziana,2.0,144.0,216.0,5.0,64.0,30.0,0.0,1.0
2016,Verona,0.0,38.0,67.0,0.0,12.0,7.0,0.0,0.0
2016,Vicenza,4.0,102.0,141.0,4.0,31.0,14.0,0.0,1.0
2017,A.O. Integrata Con Università - Verona,4.0,195.0,285.0,12.0,70.0,36.0,0.0,5.0
2017,Azienda Ospedale - Università Padova,3.0,96.0,149.0,0.0,45.0,31.0,0.0,0.0
2017,Azienda Ulss N. 1 Dolomiti,0.0,56.0,99.0,5.0,32.0,5.0,0.0,0.0
2017,Azienda Ulss N. 2 Marca Trevigiana,2.0,285.0,391.0,46.0,66.0,43.0,0.0,0.0
2017,Azienda Ulss N. 3 Serenissima,2.0,259.0,368.0,11.0,111.0,39.0,0.0,5.0
2017,Azienda Ulss N. 4 Veneto Orientale,0.0,29.0,76.0,1.0,14.0,3.0,0.0,0.0
2017,Azienda Ulss N. 5 Polesana,0.0,81.0,105.0,6.0,9.0,19.0,0.0,0.0
2017,Azienda Ulss N. 6 Euganea,4.0,144.0,295.0,23.0,43.0,12.0,0.0,3.0
2017,Azienda Ulss N. 7 Pedemontana,2.0,92.0,163.0,3.0,42.0,9.0,0.0,1.0
2017,Azienda Ulss N. 8 Berica,1.0,126.0,199.0,2.0,58.0,19.0,0.0,2.0
2017,Azienda Ulss N. 9 Scaligera,4.0,127.0,219.0,7.0,37.0,16.0,0.0,0.0
2018,A.O. Integrata Con Università - Verona,6.0,191.0,271.0,10.0,65.0,7.0,0.0,1.0
2018,Azienda Ospedale - Università Padova,1.0,74.0,108.0,0.0,66.0,15.0,0.0,0.0
2018,Azienda Ulss N. 1 Dolomiti,1.0,50.0,122.0,4.0,22.0,3.0,0.0,1.0
2018,Azienda Ulss N. 2 Marca Trevigiana,1.0,281.0,392.0,41.0,78.0,25.0,0.0,2.0
2018,Azienda Ulss N. 3 Serenissima,3.0,246.0,399.0,12.0,99.0,57.0,0.0,2.0
2018,Azienda Ulss N. 4 Veneto Orientale,0.0,45.0,58.0,0.0,5.0,0.0,0.0,0.0
2018,Azienda Ulss N. 5 Polesana,1.0,86.0,122.0,5.0,24.0,10.0,0.0,0.0
2018,Azienda Ulss N. 6 Euganea,4.0,147.0,312.0,36.0,35.0,15.0,0.0,3.0
2018,Azienda Ulss N. 7 Pedemontana,2.0,70.0,115.0,2.0,32.0,12.0,0.0,0.0
2018,Azienda Ulss N. 8 Berica,1.0,112.0,210.0,0.0,65.0,25.0,0.0,4.0
2018,Azienda Ulss N. 9 Scaligera,1.0,141.0,207.0,2.0,42.0,8.0,0.0,4.0
2019,A.O. Integrata Con Università - Verona,1.0,151.0,320.0,14.0,67.0,13.0,0.0,4.0
2019,Azienda Ospedale - Università Padova,1.0,68.0,117.0,0.0,51.0,16.0,0.0,1.0
2019,Azienda Ulss N. 1 Dolomiti,0.0,53.0,92.0,6.0,24.0,2.0,0.0,0.0
2019,Azienda Ulss N. 2 Marca Trevigiana,1.0,239.0,360.0,53.0,62.0,32.0,0.0,0.0
2019,Azienda Ulss N. 3 Serenissima,5.0,224.0,329.0,7.0,112.0,57.0,0.0,2.0
2019,Azienda Ulss N. 4 Veneto Orientale,0.0,54.0,55.0,5.0,5.0,2.0,0.0,0.0
2019,Azienda Ulss N. 5 Polesana,0.0,81.0,71.0,2.0,24.0,8.0,0.0,0.0
2019,Azienda Ulss N. 6 Euganea,1.0,162.0,256.0,32.0,32.0,7.0,0.0,2.0
2019,Azienda Ulss N. 7 Pedemontana,0.0,86.0,124.0,2.0,52.0,6.0,0.0,0.0
2019,Azienda Ulss N. 8 Berica,1.0,119.0,190.0,5.0,55.0,7.0,0.0,4.0
2019,Azienda Ulss N. 9 Scaligera,0.0,120.0,237.0,4.0,46.0,10.0,0.0,0.0
2020,A.O. Integrata Con Università - Verona,1.0,152.0,271.0,4.0,87.0,11.0,0.0,1.0
2020,Azienda Ospedale - Università Padova,1.0,81.0,148.0,3.0,72.0,19.0,0.0,0.0
2020,Azienda Ulss N. 1 Dolomiti,0.0,46.0,105.0,2.0,17.0,1.0,0.0,0.0
2020,Azienda Ulss N. 2 Marca Trevigiana,0.0,224.0,357.0,39.0,84.0,41.0,0.0,1.0
2020,Azienda Ulss N. 3 Serenissima,1.0,207.0,323.0,6.0,96.0,44.0,0.0,0.0
2020,Azienda Ulss N. 4 Veneto Orientale,0.0,42.0,48.0,3.0,7.0,3.0,0.0,1.0
2020,Azienda Ulss N. 5 Polesana,0.0,70.0,76.0,7.0,16.0,12.0,0.0,0.0
2020,Azienda Ulss N. 6 Euganea,0.0,111.0,245.0,25.0,55.0,8.0,0.0,2.0
