nome_azienda,nome,categoria,valori,anno
101,BELLUNO,MAGGIO   ,6,2015
101,BELLUNO,FEBBRAIO ,6,2015
101,BELLUNO,GENNAIO  ,12,2015
101,BELLUNO,MARZO    ,6,2015
101,BELLUNO,AGOSTO   ,10,2015
101,BELLUNO,APRILE   ,12,2015
101,BELLUNO,SETTEMBRE,2,2015
101,BELLUNO,DICEMBRE ,14,2015
101,BELLUNO,OTTOBRE  ,5,2015
101,BELLUNO,GIUGNO   ,7,2015
101,BELLUNO,NOVEMBRE ,8,2015
101,BELLUNO,LUGLIO   ,8,2015
102,FELTRE,MAGGIO   ,11,2015
102,FELTRE,FEBBRAIO ,13,2015
102,FELTRE,GENNAIO  ,9,2015
102,FELTRE,APRILE   ,13,2015
102,FELTRE,SETTEMBRE,7,2015
102,FELTRE,AGOSTO   ,8,2015
102,FELTRE,MARZO    ,10,2015
102,FELTRE,OTTOBRE  ,8,2015
102,FELTRE,DICEMBRE ,14,2015
102,FELTRE,GIUGNO   ,12,2015
102,FELTRE,NOVEMBRE ,8,2015
102,FELTRE,LUGLIO   ,7,2015
103,BASSANO DEL GRAPPA,MAGGIO   ,5,2015
103,BASSANO DEL GRAPPA,FEBBRAIO ,16,2015
103,BASSANO DEL GRAPPA,MARZO    ,16,2015
103,BASSANO DEL GRAPPA,SETTEMBRE,7,2015
103,BASSANO DEL GRAPPA,APRILE   ,11,2015
103,BASSANO DEL GRAPPA,GENNAIO  ,13,2015
103,BASSANO DEL GRAPPA,AGOSTO   ,8,2015
103,BASSANO DEL GRAPPA,OTTOBRE  ,11,2015
103,BASSANO DEL GRAPPA,DICEMBRE ,13,2015
103,BASSANO DEL GRAPPA,NOVEMBRE ,8,2015
103,BASSANO DEL GRAPPA,GIUGNO   ,12,2015
103,BASSANO DEL GRAPPA,LUGLIO   ,8,2015
104,THIENE,MAGGIO   ,16,2015
104,THIENE,FEBBRAIO ,17,2015
104,THIENE,MARZO    ,19,2015
104,THIENE,AGOSTO   ,14,2015
104,THIENE,APRILE   ,20,2015
104,THIENE,GENNAIO  ,17,2015
104,THIENE,SETTEMBRE,13,2015
104,THIENE,DICEMBRE ,9,2015
104,THIENE,OTTOBRE  ,14,2015
104,THIENE,GIUGNO   ,15,2015
104,THIENE,NOVEMBRE ,15,2015
104,THIENE,LUGLIO   ,14,2015
105,ARZIGNANO,MAGGIO   ,14,2015
105,ARZIGNANO,FEBBRAIO ,17,2015
105,ARZIGNANO,SETTEMBRE,8,2015
105,ARZIGNANO,GENNAIO  ,15,2015
105,ARZIGNANO,AGOSTO   ,7,2015
105,ARZIGNANO,MARZO    ,17,2015
105,ARZIGNANO,APRILE   ,19,2015
105,ARZIGNANO,OTTOBRE  ,10,2015
105,ARZIGNANO,DICEMBRE ,10,2015
105,ARZIGNANO,NOVEMBRE ,12,2015
105,ARZIGNANO,GIUGNO   ,13,2015
105,ARZIGNANO,LUGLIO   ,10,2015
106,VICENZA,MAGGIO   ,25,2015
106,VICENZA,FEBBRAIO ,26,2015
106,VICENZA,APRILE   ,29,2015
106,VICENZA,MARZO    ,18,2015
106,VICENZA,GENNAIO  ,28,2015
106,VICENZA,SETTEMBRE,13,2015
106,VICENZA,AGOSTO   ,11,2015
106,VICENZA,DICEMBRE ,25,2015
106,VICENZA,OTTOBRE  ,21,2015
106,VICENZA,GIUGNO   ,29,2015
106,VICENZA,NOVEMBRE ,19,2015
106,VICENZA,LUGLIO   ,33,2015
107,PIEVE DI SOLIGO,MAGGIO   ,26,2015
107,PIEVE DI SOLIGO,FEBBRAIO ,28,2015
107,PIEVE DI SOLIGO,APRILE   ,32,2015
107,PIEVE DI SOLIGO,MARZO    ,33,2015
107,PIEVE DI SOLIGO,GENNAIO  ,29,2015
107,PIEVE DI SOLIGO,SETTEMBRE,19,2015
107,PIEVE DI SOLIGO,AGOSTO   ,18,2015
107,PIEVE DI SOLIGO,DICEMBRE ,22,2015
107,PIEVE DI SOLIGO,OTTOBRE  ,21,2015
107,PIEVE DI SOLIGO,GIUGNO   ,34,2015
107,PIEVE DI SOLIGO,NOVEMBRE ,17,2015
107,PIEVE DI SOLIGO,LUGLIO   ,35,2015
108,ASOLO,MAGGIO   ,25,2015
108,ASOLO,FEBBRAIO ,35,2015
108,ASOLO,GENNAIO  ,20,2015
108,ASOLO,MARZO    ,35,2015
108,ASOLO,SETTEMBRE,18,2015
108,ASOLO,APRILE   ,30,2015
108,ASOLO,AGOSTO   ,17,2015
108,ASOLO,DICEMBRE ,30,2015
108,ASOLO,OTTOBRE  ,23,2015
108,ASOLO,NOVEMBRE ,24,2015
108,ASOLO,GIUGNO   ,18,2015
108,ASOLO,LUGLIO   ,24,2015
109,TREVISO,MAGGIO   ,31,2015
109,TREVISO,FEBBRAIO ,34,2015
109,TREVISO,SETTEMBRE,26,2015
109,TREVISO,MARZO    ,34,2015
109,TREVISO,AGOSTO   ,29,2015
109,TREVISO,GENNAIO  ,29,2015
109,TREVISO,APRILE   ,28,2015
109,TREVISO,OTTOBRE  ,19,2015
109,TREVISO,DICEMBRE ,38,2015
109,TREVISO,GIUGNO   ,29,2015
109,TREVISO,NOVEMBRE ,33,2015
109,TREVISO,LUGLIO   ,28,2015
110,S. DONA' DI PIAVE,MAGGIO   ,11,2015
110,S. DONA' DI PIAVE,FEBBRAIO ,18,2015
110,S. DONA' DI PIAVE,GENNAIO  ,11,2015
110,S. DONA' DI PIAVE,SETTEMBRE,8,2015
110,S. DONA' DI PIAVE,APRILE   ,9,2015
110,S. DONA' DI PIAVE,MARZO    ,12,2015
110,S. DONA' DI PIAVE,AGOSTO   ,11,2015
110,S. DONA' DI PIAVE,OTTOBRE  ,15,2015
110,S. DONA' DI PIAVE,DICEMBRE ,7,2015
110,S. DONA' DI PIAVE,NOVEMBRE ,11,2015
110,S. DONA' DI PIAVE,GIUGNO   ,12,2015
110,S. DONA' DI PIAVE,LUGLIO   ,19,2015
112,VENEZIANA,MAGGIO   ,42,2015
112,VENEZIANA,FEBBRAIO ,44,2015
112,VENEZIANA,AGOSTO   ,43,2015
112,VENEZIANA,GENNAIO  ,44,2015
112,VENEZIANA,SETTEMBRE,40,2015
112,VENEZIANA,APRILE   ,54,2015
112,VENEZIANA,MARZO    ,40,2015
112,VENEZIANA,OTTOBRE  ,30,2015
112,VENEZIANA,DICEMBRE ,37,2015
