nome_azienda,categoria,valori,anno
101,Età 10-17,0.7,1
102,Età 10-17,0.68,1
103,Età 10-17,0.89,1
104,Età 10-17,1.02,1
105,Età 10-17,0.39,1
107,Età 10-17,0.67,1
108,Età 10-17,0.54,1
109,Età 10-17,0.22,1
110,Età 10-17,0.5,1
112,Età 10-17,1.45,1
113,Età 10-17,1.07,1
114,Età 10-17,0.46,1
115,Età 10-17,0.57,1
116,Età 10-17,0.32,1
117,Età 10-17,0.15,1
118,Età 10-17,0.86,1
121,Età 10-17,0.17,1
901,Età 10-17,0.0,1
912,Età 10-17,0.0,1
102,Età 10-17,0.34,2
103,Età 10-17,1.02,2
104,Età 10-17,1.27,2
105,Età 10-17,0.63,2
106,Età 10-17,0.83,2
107,Età 10-17,0.33,2
108,Età 10-17,0.63,2
109,Età 10-17,0.56,2
110,Età 10-17,0.25,2
112,Età 10-17,0.96,2
113,Età 10-17,1.06,2
114,Età 10-17,0.47,2
115,Età 10-17,0.65,2
116,Età 10-17,0.32,2
117,Età 10-17,0.15,2
118,Età 10-17,0.52,2
119,Età 10-17,1.38,2
120,Età 10-17,0.15,2
121,Età 10-17,0.16,2
122,Età 10-17,0.3,2
901,Età 10-17,0.0,2
912,Età 10-17,0.0,2
501,Età 10-17,0.71,3
502,Età 10-17,0.54,3
503,Età 10-17,0.99,3
504,Età 10-17,0.26,3
505,Età 10-17,0.27,3
506,Età 10-17,0.35,3
507,Età 10-17,0.54,3
508,Età 10-17,0.81,3
509,Età 10-17,0.28,3
901,Età 10-17,0.0,3
912,Età 10-17,0.0,3
501,Età 10-17,0.58,4
502,Età 10-17,0.53,4
503,Età 10-17,1.13,4
504,Età 10-17,0.37,4
505,Età 10-17,0.54,4
506,Età 10-17,0.49,4
507,Età 10-17,0.67,4
508,Età 10-17,0.4,4
509,Età 10-17,0.19,4
901,Età 10-17,0.0,4
912,Età 10-17,0.0,4
501,Età 10-17,0.72,5
502,Età 10-17,0.55,5
503,Età 10-17,0.76,5
504,Età 10-17,0.48,5
505,Età 10-17,0.39,5
506,Età 10-17,0.17,5
507,Età 10-17,0.6,5
508,Età 10-17,0.49,5
509,Età 10-17,0.19,5
901,Età 10-17,0.0,5
912,Età 10-17,0.0,5
501,Età 10-17,1.01,6
502,Età 10-17,0.52,6
503,Età 10-17,0.76,6
504,Età 10-17,0.35,6
505,Età 10-17,0.13,6
506,Età 10-17,0.25,6
507,Età 10-17,0.6,6
508,Età 10-17,0.79,6
509,Età 10-17,0.19,6
901,Età 10-17,0.0,6
912,Età 10-17,0.0,6
501,Età 10-17,0.29,7
502,Età 10-17,0.44,7
503,Età 10-17,0.57,7
504,Età 10-17,0.12,7
505,Età 10-17,0.76,7
506,Età 10-17,0.19,7
507,Età 10-17,0.2,7
508,Età 10-17,0.64,7
509,Età 10-17,0.32,7
901,Età 10-17,0.0,7
912,Età 10-17,0.0,7
501,Età 10-17,0.44,8
502,Età 10-17,0.57,8
503,Età 10-17,1.19,8
504,Età 10-17,0.12,8
505,Età 10-17,0.88,8
506,Età 10-17,0.55,8
507,Età 10-17,0.6,8
508,Età 10-17,0.25,8
509,Età 10-17,0.27,8
901,Età 10-17,0.0,8
912,Età 10-17,0.0,8
501,Età 10-17,0.15,9
502,Età 10-17,0.68,9
503,Età 10-17,0.75,9
504,Età 10-17,0.47,9
505,Età 10-17,0.38,9
506,Età 10-17,0.44,9
507,Età 10-17,0.54,9
508,Età 10-17,0.54,9
509,Età 10-17,0.42,9
901,Età 10-17,0.0,9
912,Età 10-17,0.0,9
