nome_azienda,categoria,valori,anno
101,Età 20-24,5.15,1
101,Età 30-34,5.08,1
101,Età 35-39,4.49,1
101,Età 25-29,6.77,1
101,Età 15-19,3.27,1
101,Età 40-44,2.35,1
101,Età 45-49,0.52,1
102,Età 20-24,5.99,1
102,Età 30-34,14.27,1
102,Età 35-39,8.89,1
102,Età 25-29,12.42,1
102,Età 15-19,4.89,1
102,Età 40-44,3.35,1
102,Età 45-49,0.28,1
103,Età 20-24,6.78,1
103,Età 30-34,4.6,1
103,Età 35-39,3.97,1
103,Età 25-29,3.53,1
103,Età 15-19,2.69,1
103,Età 40-44,0.86,1
103,Età 45-49,0.24,1
104,Età 20-24,6.09,1
104,Età 30-34,7.0,1
104,Età 35-39,6.01,1
104,Età 25-29,6.59,1
104,Età 15-19,4.07,1
104,Età 40-44,2.33,1
104,Età 45-49,0.12,1
105,Età 20-24,5.79,1
105,Età 30-34,5.59,1
105,Età 35-39,4.55,1
105,Età 25-29,6.8,1
105,Età 15-19,2.72,1
105,Età 40-44,1.77,1
105,Età 45-49,0.39,1
106,Età 20-24,5.18,1
106,Età 30-34,5.71,1
106,Età 35-39,4.81,1
106,Età 25-29,5.22,1
106,Età 15-19,2.1,1
106,Età 40-44,2.08,1
106,Età 45-49,0.33,1
107,Età 20-24,8.99,1
107,Età 30-34,9.88,1
107,Età 35-39,8.35,1
107,Età 25-29,6.8,1
107,Età 15-19,3.41,1
107,Età 40-44,3.9,1
107,Età 45-49,0.19,1
108,Età 20-24,5.29,1
108,Età 30-34,8.87,1
108,Età 35-39,6.73,1
108,Età 25-29,7.3,1
108,Età 15-19,2.35,1
108,Età 40-44,3.42,1
108,Età 45-49,0.42,1
109,Età 20-24,5.48,1
109,Età 30-34,5.15,1
109,Età 35-39,5.28,1
109,Età 25-29,5.07,1
109,Età 15-19,1.68,1
109,Età 40-44,2.29,1
109,Età 45-49,0.24,1
110,Età 20-24,4.01,1
110,Età 30-34,4.03,1
110,Età 35-39,4.52,1
110,Età 25-29,5.23,1
110,Età 15-19,1.95,1
110,Età 40-44,1.18,1
112,Età 20-24,11.17,1
112,Età 30-34,12.23,1
112,Età 35-39,11.34,1
112,Età 25-29,15.24,1
112,Età 15-19,5.83,1
112,Età 40-44,2.93,1
112,Età 45-49,0.37,1
113,Età 20-24,7.61,1
113,Età 30-34,7.71,1
113,Età 35-39,7.12,1
113,Età 25-29,11.42,1
113,Età 15-19,3.83,1
113,Età 40-44,3.86,1
113,Età 45-49,0.31,1
114,Età 20-24,5.38,1
114,Età 30-34,5.11,1
114,Età 35-39,6.27,1
114,Età 25-29,7.77,1
114,Età 15-19,1.32,1
114,Età 40-44,3.66,1
115,Età 20-24,4.36,1
115,Età 30-34,4.25,1
115,Età 35-39,3.45,1
115,Età 25-29,4.33,1
115,Età 15-19,2.55,1
115,Età 40-44,2.02,1
115,Età 45-49,0.43,1
116,Età 20-24,1.59,1
116,Età 30-34,2.02,1
116,Età 35-39,1.69,1
116,Età 25-29,2.84,1
116,Età 15-19,1.22,1
116,Età 40-44,0.72,1
116,Età 45-49,0.08,1
117,Età 20-24,4.16,1
117,Età 30-34,5.57,1
117,Età 35-39,5.21,1
117,Età 25-29,3.55,1
117,Età 15-19,1.45,1
117,Età 40-44,2.41,1
117,Età 45-49,0.12,1
118,Età 20-24,5.28,1
118,Età 30-34,5.75,1
118,Età 35-39,6.57,1
118,Età 25-29,6.88,1
118,Età 15-19,1.65,1
118,Età 40-44,2.79,1
118,Età 45-49,0.59,1
119,Età 20-24,1.32,1
119,Età 30-34,4.03,1
119,Età 35-39,1.75,1
119,Età 25-29,3.55,1
119,Età 15-19,0.69,1
119,Età 40-44,1.21,1
120,Età 20-24,1.81,1
120,Età 30-34,2.2,1
120,Età 35-39,1.7,1
120,Età 25-29,1.83,1
120,Età 15-19,0.33,1
120,Età 40-44,0.48,1
120,Età 45-49,0.04,1
121,Età 20-24,2.71,1
121,Età 30-34,3.66,1
121,Età 35-39,4.11,1
121,Età 25-29,3.98,1
121,Età 15-19,0.83,1
121,Età 40-44,2.29,1
121,Età 45-49,0.43,1
122,Età 20-24,0.65,1
122,Età 30-34,0.87,1
122,Età 35-39,0.95,1
122,Età 25-29,1.14,1
122,Età 15-19,0.12,1
122,Età 40-44,0.67,1
122,Età 45-49,0.14,1
901,Età 20-24,0.0,1
901,Età 30-34,0.0,1
901,Età 35-39,0.0,1
901,Età 25-29,0.0,1
901,Età 15-19,0.0,1
901,Età 40-44,0.0,1
901,Età 45-49,0.0,1
912,Età 20-24,0.0,1
912,Età 30-34,0.0,1
912,Età 35-39,0.0,1
912,Età 25-29,0.0,1
912,Età 15-19,0.0,1
912,Età 40-44,0.0,1
912,Età 45-49,0.0,1
101,Età 20-24,4.75,2
101,Età 30-34,6.59,2
101,Età 35-39,4.0,2
101,Età 25-29,4.13,2
101,Età 15-19,0.37,2
101,Età 40-44,2.19,2
102,Età 20-24,5.27,2
102,Età 30-34,10.73,2
102,Età 35-39,10.62,2
102,Età 25-29,10.33,2
102,Età 15-19,2.69,2
102,Età 40-44,5.84,2
102,Età 45-49,0.56,2
